date_published,title,authors,summary,url,category
2025-01-15 07:37:46+00:00,Towards Intelligent Active Particles,"['Hartmut Löwen', 'Benno Liebchen']","In this book chapter we describe recent applications of artificial
intelligence and in particular machine learning to active matter systems.
Active matter is composed of agents, or particles, that are capable of
propelling themselves. While biological agents like bacteria, fish or birds
naturally possess a certain degree of ""intelligence"", synthetic active
particles like colloidal microswimmers and electronic robots can be equipped
with different levels of artificial intelligence, either internally (as for
robots) or via a dynamic external control system. This book chapter briefly
discusses existing approaches to make synthetic particles increasingly
""intelligent"" and then focuses on the usage of machine learning to approach
navigation and communication problems of active particles. Basic questions are
how to steer a single active agent through a complex environment to reach or
discover a target in an optimal way and how active particles need to cooperate
to efficiently collect a distribution of targets (e.g. nutrients or toxins)
from their complex environment.",http://arxiv.org/pdf/2501.08632v1,cond-mat.soft
2025-01-13 16:28:01+00:00,Understanding and Benchmarking Artificial Intelligence: OpenAI's o3 Is Not AGI,"['Rolf Pfister', 'Hansueli Jud']","OpenAI's o3 achieves a high score of 87.5 % on ARC-AGI, a benchmark proposed
to measure intelligence. This raises the question whether systems based on
Large Language Models (LLMs), particularly o3, demonstrate intelligence and
progress towards artificial general intelligence (AGI). Building on the
distinction between skills and intelligence made by Fran\c{c}ois Chollet, the
creator of ARC-AGI, a new understanding of intelligence is introduced: an agent
is the more intelligent, the more efficiently it can achieve the more diverse
goals in the more diverse worlds with the less knowledge. An analysis of the
ARC-AGI benchmark shows that its tasks represent a very specific type of
problem that can be solved by massive trialling of combinations of predefined
operations. This method is also applied by o3, achieving its high score through
the extensive use of computing power. However, for most problems in the
physical world and in the human domain, solutions cannot be tested in advance
and predefined operations are not available. Consequently, massive trialling of
predefined operations, as o3 does, cannot be a basis for AGI - instead, new
approaches are required that can reliably solve a wide variety of problems
without existing skills. To support this development, a new benchmark for
intelligence is outlined that covers a much higher diversity of unknown tasks
to be solved, thus enabling a comprehensive assessment of intelligence and of
progress towards AGI.",http://arxiv.org/pdf/2501.07458v1,cs.AI
2025-01-13 10:23:14+00:00,Synthetic Data and Health Privacy,"['Gwénolé Abgrall', 'Xavier Monnet', 'Anmol Arora']","This Viewpoint discusses generative artificial intelligence and safeguarding
privacy by using synthetic data as a substitute for private health data.",http://arxiv.org/pdf/2501.09031v1,cs.CR
2025-01-07 18:29:15+00:00,"Cyber Spectrum Intelligence: Security Applications, Challenges and Road Ahead","['Savio Sciancalepore', 'Gabriele Oligeri']","Cyber Spectrum Intelligence (SpecInt) is emerging as a concept that extends
beyond basic {\em spectrum sensing} and {\em signal intelligence} to encompass
a broader set of capabilities and technologies aimed at monitoring the use of
the radio spectrum and extracting information. SpecInt merges traditional
spectrum sensing techniques with Artificial Intelligence (AI) and parallel
processing to enhance the ability to extract and correlate simultaneous events
occurring on various frequencies, allowing for a new wave of intelligence
applications.
  This paper provides an overview of the emerging SpecInt research area,
characterizing the system architecture and the most relevant applications for
cyber-physical security. We identify five subcategories of spectrum
intelligence for cyber-physical security, encompassing Device Intelligence,
Channel Intelligence, Location Intelligence, Communication Intelligence, and
Ambient Intelligence. We also provide preliminary results based on an
experimental testbed showing the viability, feasibility, and potential of this
emerging application area. Finally, we point out current research challenges
and future directions paving the way for further research in this domain.",http://arxiv.org/pdf/2501.03977v1,cs.CR
2024-12-26 16:26:00+00:00,How Do Artificial Intelligences Think? The Three Mathematico-Cognitive Factors of Categorical Segmentation Operated by Synthetic Neurons,"['Michael Pichat', 'William Pogrund', 'Armanush Gasparian', 'Paloma Pichat', 'Samuel Demarchi', 'Michael Veillet-Guillem']","How do the synthetic neurons in language models create ""thought categories""
to segment and analyze their informational environment? What are the cognitive
characteristics, at the very level of formal neurons, of this artificial
categorical thought? Based on the mathematical nature of algebraic operations
inherent to neuronal aggregation functions, we attempt to identify
mathematico-cognitive factors that genetically shape the categorical
reconstruction of the informational world faced by artificial cognition. This
study explores these concepts through the notions of priming, attention, and
categorical phasing.",http://arxiv.org/pdf/2501.06196v1,q-bio.NC
2024-12-13 17:00:31+00:00,Envisioning National Resources for Artificial Intelligence Research: NSF Workshop Report,"['Shantenu Jha', 'Yolanda Gil']","This is a report of an NSF workshop titled ""Envisioning National Resources
for Artificial Intelligence Research"" held in Alexandria, Virginia, in May
2024. The workshop aimed to identify initial challenges and opportunities for
national resources for AI research (e.g., compute, data, models, etc.) and to
facilitate planning for the envisioned National AI Research Resource.
Participants included AI and cyberinfrastructure (CI) experts. The report
outlines significant findings and identifies needs and recommendations from the
workshop.",http://arxiv.org/pdf/2412.10278v1,cs.AI
2024-12-11 10:44:47+00:00,Can transformative AI shape a new age for our civilization?: Navigating between speculation and reality,"['Jesus L. Lobo', 'Javier Del Ser']","Artificial Intelligence is widely regarded as a transformative force with the
potential to redefine numerous sectors of human civilization. While Artificial
Intelligence has evolved from speculative fiction to a pivotal element of
technological progress, its role as a truly transformative agent, or
transformative Artificial Intelligence, remains a subject of debate. This work
explores the historical precedents of technological breakthroughs, examining
whether Artificial Intelligence can achieve a comparable impact, and it delves
into various ethical frameworks that shape the perception and development of
Artificial Intelligence. Additionally, it considers the societal, technical,
and regulatory challenges that must be addressed for Artificial Intelligence to
become a catalyst for global change. We also examine not only the strategies
and methodologies that could lead to transformative Artificial Intelligence but
also the barriers that could ultimately make these goals unattainable. We end
with a critical inquiry into whether reaching a transformative Artificial
Intelligence might compel humanity to adopt an entirely new ethical approach,
tailored to the complexities of advanced Artificial Intelligence. By addressing
the ethical, social, and scientific dimensions of Artificial Intelligence's
development, this work contributes to the broader discourse on the long-term
implications of Artificial Intelligence and its capacity to drive civilization
toward a new era of progress or, conversely, exacerbate existing inequalities
and risks.",http://arxiv.org/pdf/2412.08273v1,cs.AI
2024-12-04 13:56:10+00:00,The Use of Artificial Intelligence in Military Intelligence: An Experimental Investigation of Added Value in the Analysis Process,"['Christian Nitzl', 'Achim Cyran', 'Sascha Krstanovic', 'Uwe M. Borghoff']","It is beyond dispute that the potential benefits of artificial intelligence
(AI) in military intelligence are considerable. Nevertheless, it remains
uncertain precisely how AI can enhance the analysis of military data. The aim
of this study is to address this issue. To this end, the AI demonstrator
deepCOM was developed in collaboration with the start-up Aleph Alpha.
  The AI functions include text search, automatic text summarization and Named
Entity Recognition (NER). These are evaluated for their added value in military
analysis. It is demonstrated that under time pressure, the utilization of AI
functions results in assessments clearly superior to that of the control group.
Nevertheless, despite the demonstrably superior analysis outcome in the
experimental group, no increase in confidence in the accuracy of their own
analyses was observed. Finally, the paper identifies the limitations of
employing AI in military intelligence, particularly in the context of analyzing
ambiguous and contradictory information.",http://arxiv.org/pdf/2412.03610v1,cs.AI
2024-12-04 13:17:44+00:00,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain,"['Guang-Bin Huang', 'M. Brandon Westover', 'Eng-King Tan', 'Haibo Wang', 'Dongshun Cui', 'Wei-Ying Ma', 'Tiantong Wang', 'Qi He', 'Haikun Wei', 'Ning Wang', 'Qiyuan Tian', 'Kwok-Yan Lam', 'Xin Yao', 'Tien Yin Wong']","Artificial Intelligence (AI) has apparently become one of the most important
techniques discovered by humans in history while the human brain is widely
recognized as one of the most complex systems in the universe. One fundamental
critical question which would affect human sustainability remains open: Will
artificial intelligence (AI) evolve to surpass human intelligence in the
future? This paper shows that in theory new AI twins with fresh cellular level
of AI techniques for neuroscience could approximate the brain and its
functioning systems (e.g. perception and cognition functions) with any expected
small error and AI without restrictions could surpass human intelligence with
probability one in the end. This paper indirectly proves the validity of the
conjecture made by Frank Rosenblatt 70 years ago about the potential
capabilities of AI, especially in the realm of artificial neural networks.
Intelligence is just one of fortuitous but sophisticated creations of the
nature which has not been fully discovered. Like mathematics and physics, with
no restrictions artificial intelligence would lead to a new subject with its
self-contained systems and principles. We anticipate that this paper opens new
doors for 1) AI twins and other AI techniques to be used in cellular level of
efficient neuroscience dynamic analysis, functioning analysis of the brain and
brain illness solutions; 2) new worldwide collaborative scheme for
interdisciplinary teams concurrently working on and modelling different types
of neurons and synapses and different level of functioning subsystems of the
brain with AI techniques; 3) development of low energy of AI techniques with
the aid of fundamental neuroscience properties; and 4) new controllable,
explainable and safe AI techniques with reasoning capabilities of discovering
principles in nature.",http://arxiv.org/pdf/2412.06820v1,cs.AI
2024-12-03 13:25:18+00:00,Artificial Expert Intelligence through PAC-reasoning,"['Shai Shalev-Shwartz', 'Amnon Shashua', 'Gal Beniamini', 'Yoav Levine', 'Or Sharir', 'Noam Wies', 'Ido Ben-Shaul', 'Tomer Nussbaum', 'Shir Granot Peled']","Artificial Expert Intelligence (AEI) seeks to transcend the limitations of
both Artificial General Intelligence (AGI) and narrow AI by integrating
domain-specific expertise with critical, precise reasoning capabilities akin to
those of top human experts. Existing AI systems often excel at predefined tasks
but struggle with adaptability and precision in novel problem-solving. To
overcome this, AEI introduces a framework for ``Probably Approximately Correct
(PAC) Reasoning"". This paradigm provides robust theoretical guarantees for
reliably decomposing complex problems, with a practical mechanism for
controlling reasoning precision. In reference to the division of human thought
into System 1 for intuitive thinking and System 2 for reflective
reasoning~\citep{tversky1974judgment}, we refer to this new type of reasoning
as System 3 for precise reasoning, inspired by the rigor of the scientific
method. AEI thus establishes a foundation for error-bounded, inference-time
learning.",http://arxiv.org/pdf/2412.02441v1,cs.AI
