date_published,title,authors,summary,url,category
2025-06-10 18:00:05+00:00,X-Shooting ULLYSES: Massive stars at low metallicity. XIII. Putting the bi-stability jump to the test in the LMC,"['T. Alkousa', 'P. A. Crowther', 'J. M. Bestenlehner', 'H. Sana', 'F. Tramper', 'J. S. Vink', 'D. Pauli', 'J. Th. van Loon', 'F. Najarro', 'R. Kuiper', 'A. A. C. Sander', 'M. Bernini-Peron', 'The XShootU collaboration.']","We aim to investigate the theoretical bi-stability jump, which predicts an
increase in mass-loss rates below 21 kK. We further aim to constrain the
photospheric and wind parameters of a sample of 16 LMC late-O and B
supergiants. We utilise the 1D, non-LTE radiative transfer model CMFGEN in a
grid-based approach and subsequent fine-tuned spectroscopic fitting procedure
to determine the stellar and wind parameters of each star. We apply this method
to ultra-violet data from the ULLYSES programme and complementary optical data
from the XShootU collaboration. We also utilise evolutionary models to obtain
the evolutionary masses and compare them to our derived spectroscopic masses.
We derive physical parameters and wind properties of 16 late-O and B
supergiants that span a wide $T_{eff}$ range of 12-30 kK, surface gravity range
$\log{g/cm~s^{-2}}$ of 1.8-3.1, and a mass-loss rate range of
$10^{-7.6}-10^{-5.7}M_{\odot}yr^{-1}$. We also compare our results to previous
studies spectroscopic studies of LMC OB stars. We find that our derived
photospheric and wind properties are consistent with multiple previous studies.
For most of our sample, we find that the evolutionary masses and spectroscopic
masses are consistent. Our results do not reproduce a bi-stability jump in any
temperature range, but rather a monotonic decrease in mass-loss rate at lower
temperatures. We obtain a terminal wind velocity-effective temperature relation
for LMC supergiants. We find that our derived mass-loss rates do not agree with
predictions from any of the numerical recipes. This is also the case for the
ratio of the terminal wind velocity to the escape velocity
$v_{\infty}/v_{esc}$, and we derive a $v_{\infty}/v_{esc}$-$T_{eff}$ relation.
We find that wind properties are metallicity dependent from a comparison with a
previous SMC study, and we obtain a new modified wind momentum-luminosity
relation.",http://arxiv.org/pdf/2506.09129v1,astro-ph.SR
2025-06-10 14:11:03+00:00,Understanding the complex morphology of a CME: multi-view analysis and numerical modeling,"['Cecilia Mac Cormack', 'Abril Sahade', 'Angelos Vourlidas', 'Phillip Hess', 'Robin Colaninno', 'Teresa Nieves-Chinchilla']","Although all coronal mass ejections (CMEs) that propagate into the
heliosphere should contain a magnetic flux rope (MFR) component, the majority
do not exhibit the expected white-light MFR morphology of a leading edge plus
cavity. This different appearance could be the result of distortion of the
internal magnetic structure, merging with other structures, or simply
projection effects. These factors complicate the interpretation of CMEs. This
complexity is exemplified by a CME observed on 28 March 2022. The event
originated from a single eruption, evolving as a textbook CME in the low corona
but appearing as a complex two-MFR structure in white-light observations. Why?
To answer this question, we performed a multi-view data and modeling analysis
to describe the CME coronal evolution. The thermodynamic MHD model, CORHEL-CME,
helps reveal the magnetic configuration of this CME and also reveals that the
ambient field plays a crucial role in shaping the complex structure of the CME
during early evolution. Our research underscores the importance of integrating
multiview observations with physics-based models to gain a deeper insight into
the development of complex CMEs.",http://arxiv.org/pdf/2506.08820v1,astro-ph.SR
2025-06-07 19:32:15+00:00,Can Biologically Plausible Temporal Credit Assignment Rules Match BPTT for Neural Similarity? E-prop as an Example,"['Yuhan Helena Liu', 'Guangyu Robert Yang', 'Christopher J. Cueva']","Understanding how the brain learns may be informed by studying biologically
plausible learning rules. These rules, often approximating gradient descent
learning to respect biological constraints such as locality, must meet two
critical criteria to be considered an appropriate brain model: (1) good
neuroscience task performance and (2) alignment with neural recordings. While
extensive research has assessed the first criterion, the second remains
underexamined. Employing methods such as Procrustes analysis on well-known
neuroscience datasets, this study demonstrates the existence of a biologically
plausible learning rule -- namely e-prop, which is based on gradient truncation
and has demonstrated versatility across a wide range of tasks -- that can
achieve neural data similarity comparable to Backpropagation Through Time
(BPTT) when matched for task accuracy. Our findings also reveal that model
architecture and initial conditions can play a more significant role in
determining neural similarity than the specific learning rule. Furthermore, we
observe that BPTT-trained models and their biologically plausible counterparts
exhibit similar dynamical properties at comparable accuracies. These results
underscore the substantial progress made in developing biologically plausible
learning rules, highlighting their potential to achieve both competitive task
performance and neural data similarity.",http://arxiv.org/pdf/2506.06904v1,cs.NE
2025-06-02 13:30:39+00:00,Engram Memory Encoding and Retrieval: A Neurocomputational Perspective,['Daniel Szelogowski'],"Despite substantial research into the biological basis of memory, the precise
mechanisms by which experiences are encoded, stored, and retrieved in the brain
remain incompletely understood. A growing body of evidence supports the engram
theory, which posits that sparse populations of neurons undergo lasting
physical and biochemical changes to support long-term memory. Yet, a
comprehensive computational framework that integrates biological findings with
mechanistic models remains elusive. This work synthesizes insights from
cellular neuroscience and computational modeling to address key challenges in
engram research: how engram neurons are identified and manipulated; how
synaptic plasticity mechanisms contribute to stable memory traces; and how
sparsity promotes efficient, interference-resistant representations. Relevant
computational approaches -- such as sparse regularization, engram gating, and
biologically inspired architectures like Sparse Distributed Memory and spiking
neural networks -- are also examined. Together, these findings suggest that
memory efficiency, capacity, and stability emerge from the interaction of
plasticity and sparsity constraints. By integrating neurobiological and
computational perspectives, this paper provides a comprehensive theoretical
foundation for engram research and proposes a roadmap for future inquiry into
the mechanisms underlying memory, with implications for the diagnosis and
treatment of memory-related disorders.",http://arxiv.org/pdf/2506.01659v1,cs.NE
2025-05-29 06:24:36+00:00,An open-source Modular Online Psychophysics Platform (MOPP),"['Yuval Samoilov-Kats', 'Matan Noach', 'Noam Beer', 'Yuval Efrati', 'Adam Zaidel']","In recent years, there is a growing need and opportunity to use online
platforms for psychophysics research. Online experiments make it possible to
evaluate large and diverse populations remotely and quickly, complementing
laboratory-based research. However, developing and running online psychophysics
experiments poses several challenges: i) a high barrier-to-entry for
researchers who often need to learn complex code-based platforms, ii) an
uncontrolled experimental environment, and iii) questionable credibility of the
participants. Here, we introduce an open-source Modular Online Psychophysics
Platform (MOPP) to address these challenges. Through the simple web-based
interface of MOPP, researchers can build modular experiments, share them with
others, and copy or modify tasks from each others environments. MOPP provides
built-in features to calibrate for viewing distance and to measure visual
acuity. It also includes email-based and IP-based authentication, and reCAPTCHA
verification. We developed five example psychophysics tasks, that come
preloaded in the environment, and ran a pilot experiment which was hosted on
the AWS (Amazon Web Services) cloud. Pilot data collected for these tasks
yielded similar results to those reported in laboratory settings. MOPP can thus
help researchers collect large psychophysics datasets online, with reduced
turnaround time, and in a standardized manner.",http://arxiv.org/pdf/2505.23137v1,q-bio.NC
2025-05-28 17:50:53+00:00,LabUtopia: High-Fidelity Simulation and Hierarchical Benchmark for Scientific Embodied Agents,"['Rui Li', 'Zixuan Hu', 'Wenxi Qu', 'Jinouwen Zhang', 'Zhenfei Yin', 'Sha Zhang', 'Xuantuo Huang', 'Hanqing Wang', 'Tai Wang', 'Jiangmiao Pang', 'Wanli Ouyang', 'Lei Bai', 'Wangmeng Zuo', 'Ling-Yu Duan', 'Dongzhan Zhou', 'Shixiang Tang']","Scientific embodied agents play a crucial role in modern laboratories by
automating complex experimental workflows. Compared to typical household
environments, laboratory settings impose significantly higher demands on
perception of physical-chemical transformations and long-horizon planning,
making them an ideal testbed for advancing embodied intelligence. However, its
development has been long hampered by the lack of suitable simulator and
benchmarks. In this paper, we address this gap by introducing LabUtopia, a
comprehensive simulation and benchmarking suite designed to facilitate the
development of generalizable, reasoning-capable embodied agents in laboratory
settings. Specifically, it integrates i) LabSim, a high-fidelity simulator
supporting multi-physics and chemically meaningful interactions; ii) LabScene,
a scalable procedural generator for diverse scientific scenes; and iii)
LabBench, a hierarchical benchmark spanning five levels of complexity from
atomic actions to long-horizon mobile manipulation. LabUtopia supports 30
distinct tasks and includes more than 200 scene and instrument assets, enabling
large-scale training and principled evaluation in high-complexity environments.
We demonstrate that LabUtopia offers a powerful platform for advancing the
integration of perception, planning, and control in scientific-purpose agents
and provides a rigorous testbed for exploring the practical capabilities and
generalization limits of embodied intelligence in future research.",http://arxiv.org/pdf/2505.22634v1,cs.RO
2025-05-28 05:48:25+00:00,RAGPPI: RAG Benchmark for Protein-Protein Interactions in Drug Discovery,"['Youngseung Jeon', 'Ziwen Li', 'Thomas Li', 'JiaSyuan Chang', 'Morteza Ziyadi', ""Xiang 'Anthony' Chen""]","Retrieving the biological impacts of protein-protein interactions (PPIs) is
essential for target identification (Target ID) in drug development. Given the
vast number of proteins involved, this process remains time-consuming and
challenging. Large Language Models (LLMs) and Retrieval-Augmented Generation
(RAG) frameworks have supported Target ID; however, no benchmark currently
exists for identifying the biological impacts of PPIs. To bridge this gap, we
introduce the RAG Benchmark for PPIs (RAGPPI), a factual question-answer
benchmark of 4,420 question-answer pairs that focus on the potential biological
impacts of PPIs. Through interviews with experts, we identified criteria for a
benchmark dataset, such as a type of QA and source. We built a gold-standard
dataset (500 QA pairs) through expert-driven data annotation. We developed an
ensemble auto-evaluation LLM that reflected expert labeling characteristics,
which facilitates the construction of a silver-standard dataset (3,720 QA
pairs). We are committed to maintaining RAGPPI as a resource to support the
research community in advancing RAG systems for drug discovery QA solutions.",http://arxiv.org/pdf/2505.23823v1,cs.CL
2025-05-23 08:34:40+00:00,Early stakeholder engagement for a possible new multipurpose research reactor for Canada,"['Z. Yamani', 'L. Walters', 'A. Siddiqui', 'K. Huynh']","Canada has a rich history of nuclear technology development. Since the 1940s,
nuclear research infrastructure and facilities, such as National Research
Universal (NRU) reactor at Canadian Nuclear Laboratories in Chalk River,
Ontario, have played a key role for R&D and for building Canadian expertise and
competency in nuclear technology. The NRU reactor retired in 2018. Since the
needs of stakeholders vary with time, consideration of a new multipurpose
research reactor for Canada must contemplate current user input for their
requirements. As an early step in such consideration, a systematic approach was
employed to engage various national stakeholders from academia, industry, and
research organizations, including the government. Several virtual workshops
were held, each with a specific theme around utilizations. To provide
international context, our workshops also included presentations from leading
nuclear laboratories around the world. We provide a summary of Canada's
approach and the main findings of this early stakeholder engagement.",http://arxiv.org/pdf/2505.17624v1,physics.soc-ph
2025-05-21 02:43:18+00:00,Selective profiling of non-canonical nucleic acid structures via size-discriminative supramolecular probes,"['Runyu Shi', 'Dan Huang', 'Yanxi Wang', 'Qiuju Zhou', 'Zhenzhen Zhao', 'Binwu Ying', 'Qianfan Yang', 'Feng Li']","Nucleic acids can form diverse non-canonical structures, such as
G-quadruplexes (G4s) and i-motifs (iMs), which are critical in biological
processes and disease pathways. This study presents an innovative probe design
strategy based on groove size differences, leading to the development of
BT-Cy-1, a supramolecular cyanine probe optimized by fine-tuning dimer
""thickness"". BT-Cy-1 demonstrated high sensitivity in detecting structural
transitions and variations in G4s and iMs, even in complex environments with
excess dsDNA. Applied to clinical blood samples, it revealed significant
differences in RNA G4 and iM levels between liver cancer patients and healthy
individuals, marking the first report of altered iM levels in clinical samples.
This work highlights a novel approach for precise nucleic acid structural
profiling, offering insights into their biological significance and potential
in disease diagnostics.",http://arxiv.org/pdf/2505.15035v1,q-bio.BM
2025-05-20 21:59:20+00:00,RoboCulture: A Robotics Platform for Automated Biological Experimentation,"['Kevin Angers', 'Kourosh Darvish', 'Naruki Yoshikawa', 'Sargol Okhovatian', 'Dawn Bannerman', 'Ilya Yakavets', 'Florian Shkurti', 'Alán Aspuru-Guzik', 'Milica Radisic']","Automating biological experimentation remains challenging due to the need for
millimeter-scale precision, long and multi-step experiments, and the dynamic
nature of living systems. Current liquid handlers only partially automate
workflows, requiring human intervention for plate loading, tip replacement, and
calibration. Industrial solutions offer more automation but are costly and lack
the flexibility needed in research settings. Meanwhile, research in autonomous
robotics has yet to bridge the gap for long-duration, failure-sensitive
biological experiments. We introduce RoboCulture, a cost-effective and flexible
platform that uses a general-purpose robotic manipulator to automate key
biological tasks. RoboCulture performs liquid handling, interacts with lab
equipment, and leverages computer vision for real-time decisions using optical
density-based growth monitoring. We demonstrate a fully autonomous 15-hour
yeast culture experiment where RoboCulture uses vision and force feedback and a
modular behavior tree framework to robustly execute, monitor, and manage
experiments. Video demonstrations of RoboCulture can be found at
https://ac-rad.github.io/roboculture.",http://arxiv.org/pdf/2505.14941v2,cs.RO
