date_published,title,authors,summary,url,category
2025-01-02 19:30:53+00:00,Garbage in Garbage out: Impacts of data quality on criminal network intervention,"['Wang Ngai Yeung', 'Riccardo Di Clemente', 'Renaud Lambiotte']","Criminal networks such as human trafficking rings are threats to the rule of
law, democracy and public safety in our global society. Network science
provides invaluable tools to identify key players and design interventions for
Law Enforcement Agencies (LEAs), e.g., to dismantle their organisation.
However, poor data quality and the adaptiveness of criminal networks through
self-organization make effective disruption extremely challenging. Although
there exists a large body of work building and applying network scientific
tools to attack criminal networks, these work often implicitly assume that the
network measurements are accurate and complete. Moreover, there is thus far no
comprehensive understanding of the impacts of data quality on the downstream
effectiveness of interventions. This work investigates the relationship between
data quality and intervention effectiveness based on classical graph theoretic
and machine learning-based approaches. Decentralization emerges as a major
factor in network robustness, particularly under conditions of incomplete data,
which renders attack strategies largely ineffective. Moreover, the robustness
of centralized networks can be boosted using simple heuristics, making targeted
attack more infeasible. Consequently, we advocate for a more cautious
application of network science in disrupting criminal networks, the continuous
development of an interoperable intelligence ecosystem, and the creation of
novel network inference techniques to address data quality challenges.",http://arxiv.org/pdf/2501.01508v2,physics.soc-ph
2024-12-20 13:02:50+00:00,Understanding the Structure and Resilience of the Brazilian Federal Road Network Through Network Science,"['Julio Taveira', 'Fernando Buarque de Lima Neto', 'Ronaldo Menezes']","Understanding how transportation networks work is important for improving
connectivity, efficiency, and safety. In Brazil, where road transport is a
significant portion of freight and passenger movement, network science can
provide valuable insights into the structural properties of the infrastructure,
thus helping decision makers responsible for proposing improvements to the
system. This paper models the federal road network as weighted networks, with
the intent to unveil its topological characteristics and identify key locations
(cities) that play important roles for the country through 75,000 kilometres of
roads. We start with a simple network to examine basic connectivity and
topology, where weights are the distance of the road segment. We then
incorporate other weights representing number of incidents, population, and
number of cities in-between each segment. We then focus on community detection
as a way to identify clusters of cities that form cohesive groups within a
network. Our findings aim to bring clarity to the overall structure of federal
roads in Brazil, thus providing actionable insights for improving
infrastructure planning and prioritising resources to enhance network
resilience.",http://arxiv.org/pdf/2412.15865v1,physics.soc-ph
2024-12-15 13:45:11+00:00,Assessing the Robustness and Resilience of U.S. Strategic Highways: A Network Science Perspective,"['Sukhwan Chung', 'Daniel Sardak', 'Jeffrey Cegan', 'Igor Linkov']","Network science is a powerful tool for analyzing transportation networks,
offering insights into their structures and enabling the quantification of
resilience and robustness. Understanding the underlying structures of
transportation networks is crucial for effective infrastructure planning and
maintenance. In military contexts, network science is valuable for analyzing
logistics networks, critical for the movement and supply of troops and
equipment. The U.S. Army's logistical success, particularly in the
""fort-to-port"" phase, relies heavily on the Strategic Highway Network
(STRAHNET) in the U.S., which is a system of public highways crucial for
military deployments. However, the shared nature of these networks with
civilian users introduces unique challenges, including vulnerabilities to
cyberattacks and physical sabotage, which is highlighted by the concept of
contested logistics. This paper proposes a method using network science and
geographic information systems (GIS) to assess the robustness and resilience of
transportation networks, specifically applied to military logistics. Our
findings indicate that while the STRAHNET is robust against targeted
disruptions, it is more resilient to random disruptions.",http://arxiv.org/pdf/2412.11188v1,physics.soc-ph
2024-12-12 05:37:55+00:00,Control Flow Adaption: An Efficient Simulation Method For Noisy Quantum Networks,"['Huiping Lin', 'Ruixuan Deng', 'Chris Z. Yao', 'Zhengfeng Ji', 'Mingsheng Ying']","Quantum network research at both the software stack and hardware
implementation level has become an exciting area of quantum information
science. Although demonstrations of small-scale quantum networks have emerged
in the past decade, quantum communication and computation hardware remain
scarce resources today. As a result, the evaluation and validation of quantum
network protocols primarily rely on classical simulators rather than real
quantum networks. This paper introduces a novel quantum network simulation
method called control flow adaptation, which enhances standard tensor network
simulations. This method enables accurate and efficient simulations of many
important quantum network protocols by carefully leveraging the control flow
structures of them. Furthermore, we have developed a prototype quantum network
simulator, qns-3, as a module for ns-3. This new module implements the control
flow adaptation technique and applies it to a wide range of protocols. All
related code is open-sourced. We believe the development of the control flow
adaptation method and the qns-3 simulator represents a step forward in quantum
network research, offering a versatile and scalable platform for testing and
verifying quantum network protocols on classical computers.",http://arxiv.org/pdf/2412.08956v1,quant-ph
2024-12-03 00:46:52+00:00,Strong Friendship Paradox in Social Networks,['Kristina Lerman'],"The friendship paradox in social networks states that your friends have more
friends than you do, on average. Recently, a stronger variant of the paradox
was shown to hold for most people within a network: `most of your friends have
more friends than you do.' Unlike the original paradox, which arises trivially
because a few very popular people appear in the social circles of many others
and skew their average friend popularity, the strong friendship paradox depends
on features of higher-order network structures. Similar to the original
paradox, the strong friendship paradox generalizes beyond popularity. When
individuals have traits, many will observe that most of their friends have more
of that trait than they do. This can lead to the Majority illusion, in which a
rare trait will appear highly prevalent within a network. Understanding how the
strong friendship paradox biases local observations within networks can inform
better measurements of network structure and our understanding of collective
phenomena in networks.",http://arxiv.org/pdf/2412.02061v1,cs.SI
2024-11-05 11:43:13+00:00,Towards Scientific Literacy in Inclusive Science Education,"['Stefanie Lenzer', 'Laura Pannullo', 'Andreas Nehring', 'Lisa Stinken-Roesner']","Scientific literacy, a central goal of modern science education, should be
accessible to all students regardless of their backgrounds. Despite
international education reforms focused on diversity, equity and inclusion many
teachers struggle to create inclusive science lessons. One reason may be, that
creating inclusive science lessons is challenging: it requires teachers to
balance the demands of science education with the diverse needs of their
students. Therefore, teachers need support in planning inclusive science
lessons. To address this issue, members of a German network for inclusive
science education (Netzwerk inklusiver naturwissenschaftlicher Unterricht,
NinU) have developed the NinU framework. This framework integrates perspectives
from both science education and inclusive pedagogy to support teachers in
planning and reflecting inclusive science lessons. Originally created as a
workshop resource for the NARST 2023 conference, this self-study manual
provides 1) an overview of the theory behind the NinU framework, 2) examples
and 3) exercises for acknowledging diversity, recognizing barriers and enabling
participation using the framework.",http://arxiv.org/pdf/2411.03020v2,physics.ed-ph
2024-11-01 19:30:27+00:00,Correlation of Correlation Networks: High-Order Interactions in the Topology of Brain Networks,"['Qiang Li', 'Jingyu Liu', 'Vince D. Calhoun']","To understand collective network behavior in the complex human brain,
pairwise correlation networks alone are insufficient for capturing the
high-order interactions that extend beyond pairwise interactions and play a
crucial role in brain network dynamics. These interactions often reveal
intricate relationships among multiple brain networks, significantly
influencing cognitive processes. In this study, we explored the correlation of
correlation networks and topological network analysis with resting-state fMRI
to gain deeper insights into these higher-order interactions and their impact
on the topology of brain networks, ultimately enhancing our understanding of
brain function. We observed that the correlation of correlation networks
highlighted network connections while preserving the topological structure of
correlation networks. Our findings suggested that the correlation of
correlation networks surpassed traditional correlation networks, showcasing
considerable potential for applications in various areas of network science.
Moreover, after applying topological network analysis to the correlation of
correlation networks, we observed that some high-order interaction hubs
predominantly occurred in primary and high-level cognitive areas, such as the
visual and fronto-parietal regions. These high-order hubs played a crucial role
in information integration within the human brain.",http://arxiv.org/pdf/2411.00992v2,q-bio.NC
2024-10-25 11:57:07+00:00,A New Variant of Benes Network: Its Topological Characterisation and Comparative Analysis,"['Parvez Ali', 'Annmaria Baby', 'D. Antony Xavier', 'Eddith Sarah Varghese', 'Theertha Nair A.', 'Haidar Ali']","The modern era always looks into advancements in technology. Design and
topology of interconnection networks play a mutual role in development of
technology. Analysing the topological properties and characteristics of an
interconnection network is not an easy task. Graph theory helps in solving this
task analytically and efficiently through the use of numerical parameters known
as distance based topological descriptors. These descriptors have considerable
applications in various fields of computer science, chemistry, biology, etc.
This paper deals with the evaluation of topological descriptors for an
n-dimensional multistage interconnection network, the benes network,BB(n).
Also, a new variant of interconnection network is derived from the benes
network, named as augmented benes network and denoted as BB^* (n). The
topological descriptors for the benes derived network are also determined in
this work. Further, the benes network and augmented benes network undergoes a
comparative analysis based on few network parameters, which helps to understand
the efficiency of newly derived benes network. A broadcasting algorithm for the
augmented benes network is also provided.",http://arxiv.org/pdf/2411.04135v1,cs.NI
2024-10-12 09:01:51+00:00,Evolutionary origin of the bipartite architecture of dissipative cellular networks,"['Bowen Shi', 'Long Qian', 'Qi Ouyang']","Recently, plenty research has been done on discovering the role of energy
dissipation in biological networks, most of which focus on the relationship of
dissipation and functionality. However, the development of networks science
urged us to fathom the systematic architecture of biological networks and their
evolutionary advantages. We found the dissipation of biological dissipative
networks is highly related to their structure. By interrogating these
well-adapted networks, we find that the energy producing module is relatively
isolated in all situations. We applied evolutionary simulation and analysis on
premature networks of classic dissipative networks, namely kinetic
proofreading, activator-inhibitor oscillator and two typical adaptative
response models. We found despite that selection was imposed merely on the
network function, the networks tended to decouple high energy molecules as
fuels from the functional module, to achieve higher overall dissipation during
the course of evolution. Furthermore, we find that decoupled fuel modules can
increase the robustness of the networks towards parameter or structure
perturbations. We provide theoretical analysis on the kinetic proofreading
networks and the general case of energy-driven networks. We find fuel
decoupling can guarantee higher dissipation and, in most cases when considering
dissipative networks, higher performance. We conclude that fuel decoupling is
an evolutionary outcome and bears benefits during evolution.",http://arxiv.org/pdf/2410.09447v1,physics.bio-ph
2024-10-01 00:53:18+00:00,Network Science in Psychology,"['Tracy Sweet', 'Selena Wang']","Social network analysis can answer research questions such as why or how
individuals interact or form relationships and how those relationships impact
other outcomes. Despite the breadth of methods available to address
psychological research questions, social network analysis is not yet a standard
practice in psychological research. To promote the use of social network
analysis in psychological research, we present an overview of network methods,
situating each method within the context of research studies and questions in
psychology.",http://arxiv.org/pdf/2410.00301v1,cs.SI
2024-09-19 15:50:12+00:00,Characterizing variability in complex network community structure with a recursive significance clustering scheme,"['Karsten N. Economou', 'Cassie R. Norman', 'Wendy C. Gentleman']","Network science has presented community detection as a valuable tool for
revealing the functional modules in complex systems as rooted in the wiring
architectures of complex networks. The varying procedures of community
detection can produce, however, divisions of a network into communities that
are prone to degeneracy given small changes to the network's configuration.
This yields network partitions of similar merit that are structurally
dissimilar, which is especially problematic when the network is constructed on
uncertain data. To reconcile with the ambiguity in interpreting degenerate
network partitions as representations of underlying system function, we
introduce a recursive significance clustering scheme that identifies the
subsets of nodes that have stable joint community assignments under network
perturbation. These robust node groups are referred to here as cores, and
represent well-supported features of the network. We show that cores
characterize the variability inherent to non-overlapping community structure in
weighted and directed networks and indicate robust community assignments that
are cohesive under temporal evolution of the network.",http://arxiv.org/pdf/2409.12852v1,physics.soc-ph
