source,target,community
M Charity,Sam Earle,3
M Charity,Julian Togelius,3
M Charity,Dipika Rajesh,3
Dipika Rajesh,Sam Earle,3
Dipika Rajesh,Julian Togelius,3
Sam Earle,Julian Togelius,3
Julian Togelius,Aaron Dharna,3
Julian Togelius,L. B. Soros,3
Julian Togelius,Amy K Hoover,3
Sanyam Jain,Stefano Nichele,7
Sanyam Jain,Aarati Shrestha,7
Aarati Shrestha,Stefano Nichele,7
Stefano Nichele,Erik Aaron Hansen,5
Stefano Nichele,Hårek Haugerud,5
Stefano Nichele,Alex Alcocer,5
Stefano Nichele,Gunnar Tufte,5
Stefano Nichele,Anis Yazidi,5
Stefano Nichele,Kristine Heiney,5
Stefano Nichele,Asieh Abolpour Mofrad,5
Bert Wang-Chak Chan,Mayalen Etcheverry,18
Bert Wang-Chak Chan,Pierre-Yves Oudeyer,18
Bert Wang-Chak Chan,Clément Moulin-Frier,18
Bert Wang-Chak Chan,Gautier Hamon,18
Bert Wang-Chak Chan,Erwan Plantec,18
Yong Zher Koh,Maurice HT Ling,12
Joel Lehman,Marc Parizeau,17
Joel Lehman,Julie Beaulieu,17
Joel Lehman,William F. Punch,17
Joel Lehman,Kenneth O. Stanley,17
Joel Lehman,Samuel Bernard,17
Joel Lehman,Leni Le Goff,17
Joel Lehman,Marc Schoenauer,17
Joel Lehman,Risto Miikkulainen,17
Joel Lehman,Jeff Clune,17
Joel Lehman,Charles Ofria,17
Joel Lehman,Adrien Ecoffet,17
Joel Lehman,Babak Hodjat,17
Joel Lehman,Danesh Tarapore,17
Joel Lehman,Antoine Cully,17
Joel Lehman,Robert MacCurdy,17
Joel Lehman,Jean-Baptiste Mouret,17
Joel Lehman,Jason Yosinski,17
Joel Lehman,Carlos Maestre,17
Joel Lehman,Westley Weimer,17
Joel Lehman,Frank Hutter,17
Joel Lehman,Simon Thibault,17
Joel Lehman,Sara Mitri,17
Joel Lehman,Anh Nguyen,17
Joel Lehman,Lee Altenberg,17
Joel Lehman,Laurent Keller,17
Joel Lehman,Christian Gagné,17
Joel Lehman,David Parsons,17
Joel Lehman,Carole Knibbe,17
Joel Lehman,Laura M. Grabowski,17
Joel Lehman,Richard Watson,17
Joel Lehman,Stephanie Forrest,17
Joel Lehman,Robert Feldt,17
Joel Lehman,Stephane Doncieux,17
Joel Lehman,Antoine Frénoy,17
Joel Lehman,Karl Sims,17
Joel Lehman,Dusan Misevic,17
Joel Lehman,François Taddei,17
