date,author,title
2025-01-15 07:37:46+00:00,Hartmut Löwen,Towards Intelligent Active Particles
2025-01-15 07:37:46+00:00,Benno Liebchen,Towards Intelligent Active Particles
2025-01-13 16:28:01+00:00,Rolf Pfister,Understanding and Benchmarking Artificial Intelligence: OpenAI's o3 Is Not AGI
2025-01-13 16:28:01+00:00,Hansueli Jud,Understanding and Benchmarking Artificial Intelligence: OpenAI's o3 Is Not AGI
2025-01-13 10:23:14+00:00,Gwénolé Abgrall,Synthetic Data and Health Privacy
2025-01-13 10:23:14+00:00,Xavier Monnet,Synthetic Data and Health Privacy
2025-01-13 10:23:14+00:00,Anmol Arora,Synthetic Data and Health Privacy
2025-01-07 18:29:15+00:00,Savio Sciancalepore,"Cyber Spectrum Intelligence: Security Applications, Challenges and Road Ahead"
2025-01-07 18:29:15+00:00,Gabriele Oligeri,"Cyber Spectrum Intelligence: Security Applications, Challenges and Road Ahead"
2024-12-26 16:26:00+00:00,Michael Pichat,How Do Artificial Intelligences Think? The Three Mathematico-Cognitive Factors of Categorical Segmentation Operated by Synthetic Neurons
2024-12-26 16:26:00+00:00,William Pogrund,How Do Artificial Intelligences Think? The Three Mathematico-Cognitive Factors of Categorical Segmentation Operated by Synthetic Neurons
2024-12-26 16:26:00+00:00,Armanush Gasparian,How Do Artificial Intelligences Think? The Three Mathematico-Cognitive Factors of Categorical Segmentation Operated by Synthetic Neurons
2024-12-26 16:26:00+00:00,Paloma Pichat,How Do Artificial Intelligences Think? The Three Mathematico-Cognitive Factors of Categorical Segmentation Operated by Synthetic Neurons
2024-12-26 16:26:00+00:00,Samuel Demarchi,How Do Artificial Intelligences Think? The Three Mathematico-Cognitive Factors of Categorical Segmentation Operated by Synthetic Neurons
2024-12-26 16:26:00+00:00,Michael Veillet-Guillem,How Do Artificial Intelligences Think? The Three Mathematico-Cognitive Factors of Categorical Segmentation Operated by Synthetic Neurons
2024-12-13 17:00:31+00:00,Shantenu Jha,Envisioning National Resources for Artificial Intelligence Research: NSF Workshop Report
2024-12-13 17:00:31+00:00,Yolanda Gil,Envisioning National Resources for Artificial Intelligence Research: NSF Workshop Report
2024-12-11 10:44:47+00:00,Jesus L. Lobo,Can transformative AI shape a new age for our civilization?: Navigating between speculation and reality
2024-12-11 10:44:47+00:00,Javier Del Ser,Can transformative AI shape a new age for our civilization?: Navigating between speculation and reality
2024-12-04 13:56:10+00:00,Christian Nitzl,The Use of Artificial Intelligence in Military Intelligence: An Experimental Investigation of Added Value in the Analysis Process
2024-12-04 13:56:10+00:00,Achim Cyran,The Use of Artificial Intelligence in Military Intelligence: An Experimental Investigation of Added Value in the Analysis Process
2024-12-04 13:56:10+00:00,Sascha Krstanovic,The Use of Artificial Intelligence in Military Intelligence: An Experimental Investigation of Added Value in the Analysis Process
