date,authors,title
2022-10-11 07:49:54+00:00,Stuart Bartlett,Provenance of Lyfe: Chemical Autonomous Agents Surviving through Associative Learning
2022-10-11 07:49:54+00:00,David Louapre,Provenance of Lyfe: Chemical Autonomous Agents Surviving through Associative Learning
2020-11-05 17:53:33+00:00,Aymeric Vie,"Qualities, challenges and future of genetic algorithms: a literature review"
2020-11-05 17:53:33+00:00,Alissa M. Kleinnijenhuis,"Qualities, challenges and future of genetic algorithms: a literature review"
2020-11-05 17:53:33+00:00,Doyne J. Farmer,"Qualities, challenges and future of genetic algorithms: a literature review"
2014-11-13 23:48:47+00:00,Russell Standish,Mechanical generation of networks with surplus complexity
2013-08-27 00:25:04+00:00,Thao Dang,Proceedings Second International Workshop on Hybrid Systems and Biology
2013-08-27 00:25:04+00:00,Carla Piazza,Proceedings Second International Workshop on Hybrid Systems and Biology
2011-04-29 02:28:50+00:00,Carlos Gershenson,Complex Networks
2011-04-29 02:28:50+00:00,Mikhail Prokopenko,Complex Networks
2010-08-23 11:52:47+00:00,Russell K. Standish,Network Complexity of Foodwebs
2007-06-04 16:08:22+00:00,D. A. Sofge,Challenges and Opportunities of Evolutionary Robotics
2007-06-04 16:08:22+00:00,M. A. Potter,Challenges and Opportunities of Evolutionary Robotics
2007-06-04 16:08:22+00:00,M. D. Bugajska,Challenges and Opportunities of Evolutionary Robotics
2007-06-04 16:08:22+00:00,A. C. Schultz,Challenges and Opportunities of Evolutionary Robotics
