date_added,domain,url_domain,claim
2026-05-13 22:00:02,san.com,san.com,"A hantavirus outbreak has expanded, with a French woman in critical condition."
2026-05-13 21:36:07,headtopics.com,fr.headtopics.com,Update on hantavirus cases in France.
2026-05-13 21:16:11,laopinion.com,laopinion.com,"There is a hantavirus outbreak reaching 11 infections, with a French patient in critical condition."
2026-05-13 21:05:03,metro.co.uk,metro.co.uk,A British individual was found in an Italian bar instead of quarantining for hantavirus.
2026-05-13 19:27:19,headtopics.com,fr.headtopics.com,"Among the 22 French contact cases of hantavirus, 4 are children"
2026-05-13 19:27:19,headtopics.com,fr.headtopics.com,22 French contact cases of hantavirus are confirmed not to be infected
2026-05-13 18:49:56,headtopics.com,es.headtopics.com,A Spanish man tests positive for hantavirus in a Madrid hospital.
2026-05-13 18:04:44,nypost.com,nypost.com,A Dutch hospital quarantined staff due to a hantavirus protocol breach.
2026-05-13 17:42:31,milano.corriere.it,video.corriere.it,There are no risks for those who had contact with the English tourist who tested negative for hantavirus.
2026-05-13 16:22:37,elpais.com,elpais.com,Monica Garcia discusses the hantavirus crisis and mentions 14 Spaniards who were at risk of being abandoned.
2026-05-13 14:45:27,euronews.com,euronews.com,"Hantavirus cases are spreading, as a French woman is in critical condition."
2026-05-13 14:45:27,euronews.com,euronews.com,Macron claims the hantavirus situation is under control in France and calls for European coordination.
2026-05-13 14:45:27,euronews.com,euronews.com,The hantavirus outbreak is driving the EU to push for tighter cross-border health coordination.
2026-05-13 14:27:47,headtopics.com,at.headtopics.com,Austrian authorities managing a hantavirus outbreak
2026-05-13 14:09:15,10news.com,10news.com,A French patient suffering from hantavirus is critically ill and is being treated with an artificial lung.
2026-05-13 10:16:18,headtopics.com,es.headtopics.com,French woman hospitalized with hantavirus
2026-05-13 09:15:18,headtopics.com,es.headtopics.com,A Spanish individual has been isolated due to hantavirus in a hospital.
2026-05-13 09:14:17,elpais.com,elpais.com,A Spanish patient hospitalized for hantavirus is experiencing symptoms but is stable.
2026-05-13 08:45:58,knkx.org,knkx.org,A patient in France is critically ill with hantavirus as the outbreak expands to 11 cases.
2026-05-13 08:42:01,livemint.com,livemint.com,"Italy's report of a suspected hantavirus case being negative, which eases concerns."
2026-05-13 08:36:08,headtopics.com,us.headtopics.com,A British tourist is isolated in Italy due to hantavirus fears.
2026-05-13 08:36:08,headtopics.com,us.headtopics.com,A French hantavirus patient is critically ill and on an unspecified treatment.
2026-05-13 08:27:28,content.ctpublic.org,ctpublic.org,A patient in France is critically ill as a hantavirus outbreak increases to 11 cases.
2026-05-13 08:12:35,alltop.com,npr.org,A French hantavirus patient is critically ill.
2026-05-13 08:10:23,nbcnews.com,nbcnews.com,A French hantavirus patient is critically ill and an outbreak is growing.
2026-05-13 08:08:26,independent.co.uk,independent.co.uk,"Hantavirus detected on UK cruise ship, leading to isolation measures"
2026-05-13 08:04:15,houstonpublicmedia.org,houstonpublicmedia.org,A French hantavirus patient is in critical condition as an outbreak reaches 11 cases.
2026-05-13 07:59:00,dailymail.co.uk,dailymail.co.uk,A woman died from hantavirus while a couple faced quarantine during their flight to Italy.
2026-05-13 07:46:45,michiganpublic.org,michiganpublic.org,A French hantavirus patient is critically ill as the outbreak increases to 11 cases.
2026-05-13 06:58:43,dailymail.co.uk,dailymail.co.uk,Brits infected with hantavirus have been flown to the UK and are being monitored in a hospital.
2026-05-13 06:56:22,corriere.it,milano.corriere.it,"A patient in Milan was at risk for hantavirus, but both he and his companion tested negative, leading to quarantine measures at Sacco hospital."
2026-05-13 06:07:27,headtopics.com,ca.headtopics.com,French hantavirus patient critically ill
2026-05-13 05:50:24,dailystar.co.uk,dailystar.co.uk,Hantavirus will spread to 1 in 10 Brits
2026-05-13 05:05:25,gbnews.com,gbnews.com,There are fears of a hantavirus outbreak linked to a cruise ship sent to Britain
2026-05-13 04:22:22,infonews.ca,infonews.ca,"A French hantavirus patient is critically ill, and the outbreak has grown to 11 cases."
2026-05-13 03:34:48,lemonde.fr,lemonde.fr,Update on a French passenger in critical condition due to hantavirus
2026-05-13 01:39:26,milano.corriere.it,milano.corriere.it,Article about a British tourist in quarantine in Milan related to hantavirus
2026-05-13 00:01:43,infonews.ca,infonews.ca,A French hantavirus patient is critically ill and total cases have increased to 11.
2026-05-12 21:30:37,headtopics.com,es.headtopics.com,Update on Spanish hantavirus case
2026-05-12 20:46:17,headtopics.com,fr.headtopics.com,Hantavirus: Can Paris rats also be carriers?
2026-05-12 20:34:47,headtopics.com,be.headtopics.com,Test results for two Belgians regarding hantavirus
2026-05-12 20:33:52,marca.com,marca.com,Twelve Dutch health workers are quarantined due to protocol errors related to a hantavirus patient.
2026-05-12 20:02:43,news.ssbcrack.com,news.ssbcrack.com,There is a possible return of hantavirus cases after the evacuation of the Hondius in the Canary Islands.
2026-05-12 19:10:31,headtopics.com,es.headtopics.com,New protocol against hantavirus outbreak in Spain.
2026-05-12 18:40:56,metro.co.uk,metro.co.uk,Ten people on remote islands in the UK are self-isolating due to a hantavirus outbreak.
2026-05-12 18:28:40,headtopics.com,nl.headtopics.com,Quarantines and arrests in Apeldoorn connected to a hantavirus incident.
2026-05-12 18:28:40,headtopics.com,pt.headtopics.com,The hantavirus situation in France is controlled but under more surveillance.
2026-05-12 17:59:40,straitstimes.com,straitstimes.com,"A French woman is experiencing severe symptoms of hantavirus, according to her doctor."
2026-05-12 17:19:06,apnews.com,apnews.com,Evacuations of people from a hantavirus-affected cruise ship in Tenerife have concluded.
2026-05-12 16:31:37,abc7.com,abc7.com,New case of hantavirus reported in Spain as cruise outbreak reaches 11 infected.
2026-05-12 16:04:44,marca.com,marca.com,Health authorities confirm respiratory symptoms in a Spanish passenger isolated due to hantavirus on the MV Hondius.
2026-05-12 15:46:25,headtopics.com,id.headtopics.com,WHO confirms 11 cases of hantavirus on Dutch cruise ship
2026-05-12 15:08:47,headtopics.com,mx.headtopics.com,Spanish passenger tests positive for hantavirus.
2026-05-12 15:08:47,headtopics.com,fr.headtopics.com,First confirmed case of hantavirus in France and prognosis.
2026-05-12 14:54:19,kutv.com,kutv.com,"There is a hantavirus outbreak linked to a Dutch cruise ship, with 11 cases reported, but public risk is considered low."
2026-05-12 14:15:07,lemonde.fr,lemonde.fr,French cases of hantavirus are hospitalized or undergoing hospitalization according to the Health Minister.
2026-05-12 12:29:54,independent.co.uk,independent.co.uk,Hantavirus cases reported on cruise ship in Spain
2026-05-12 12:00:51,headtopics.com,ca.headtopics.com,New hantavirus case reported in Spain from evacuated passenger.
2026-05-12 10:37:50,headtopics.com,fr.headtopics.com,Should we now bring back hantavirus precautions in France?
2026-05-12 10:34:20,infonews.ca,infonews.ca,Spain reports a new hantavirus case linked to a cruise ship outbreak.
2026-05-12 10:16:03,metro.co.uk,metro.co.uk,A French woman was misdiagnosed with anxiety when she actually had hantavirus symptoms.
2026-05-12 08:43:56,marca.com,marca.com,A Spanish man has been hospitalized due to hantavirus and is exhibiting mild fever and desaturation.
2026-05-12 08:35:39,euronews.com,euronews.com,Passengers are disembarking from a cruise ship in Tenerife that was affected by a hantavirus outbreak.
2026-05-12 08:35:39,euronews.com,euronews.com,Dutch hospital workers were quarantined due to a faulty procedure related to treating a hantavirus patient.
2026-05-12 08:26:30,dailymail.co.uk,dailymail.com,British Army soldiers performed a daring parachute aid mission to help a hantavirus victim.
2026-05-12 06:52:01,headtopics.com,be.headtopics.com,Belgian couple exposes hantavirus concerns
2026-05-12 06:52:01,headtopics.com,es.headtopics.com,First Spaniard with hantavirus transported in a capsule
2026-05-12 06:43:15,lemonde.fr,lemonde.fr,Live update on the critical health status of a French patient diagnosed with hantavirus.
2026-05-12 06:25:46,independent.co.uk,independent.co.uk,"There is a hantavirus outbreak on a cruise ship in the UK, with reported symptoms."
2026-05-12 06:15:45,headtopics.com,co.headtopics.com,Hantavirus risk assessment for Santander.
2026-05-12 06:15:45,headtopics.com,fr.headtopics.com,Hantavirus contact cases identified in France.
2026-05-12 05:26:13,dailystar.co.uk,dailystar.co.uk,Claim of a hantavirus outbreak in the UK causing fears
2026-05-12 04:15:17,dailystar.co.uk,dailystar.co.uk,The article reports on rising fears regarding a hantavirus outbreak in the UK.
2026-05-12 02:36:38,headtopics.com,es.headtopics.com,A Spaniard tests positive for hantavirus in the Gómez Ulla
2026-05-12 02:29:14,euronews.com,euronews.com,A vessel affected by hantavirus had to return to the Canary Islands due to bad weather during an evacuation.
2026-05-12 01:07:36,dailymail.co.uk,dailymail.co.uk,Brits were evacuated from a cruise ship due to Hantavirus concerns and had to self-isolate after being released from a Covid hospital.
2026-05-11 22:20:10,cbsnews.com,cbsnews.com,A cruise ship affected by hantavirus has arrived in the Canary Islands.
2026-05-11 19:42:02,marca.com,marca.com,14 Spanish passengers are isolated after testing positive for hantavirus.
2026-05-11 18:15:24,dailyrecord.co.uk,dailyrecord.co.uk,Merseyside hospitals are under quarantine due to a hantavirus outbreak.
2026-05-11 18:07:59,lemonde.fr,lemonde.fr,Hantavirus contacts identified in France do not show symptoms according to Sebastien Lecornu.
2026-05-11 17:39:52,headtopics.com,it.headtopics.com,Mandatory quarantine for two Italians due to hantavirus.
2026-05-11 17:04:41,euronews.com,euronews.com,France confirms new case of hantavirus associated with a ship evacuation
2026-05-11 17:04:41,euronews.com,euronews.com,A Spanish officer dies during a hantavirus emergency on a cruise ship
2026-05-11 15:34:57,laopinion.com,laopinion.com,New hantavirus cases confirmed in a French and an American who were on the affected cruise and returned to their countries.
2026-05-11 15:32:57,marca.com,marca.com,Concerns grow for French woman infected with hantavirus as disease rapidly progresses.
2026-05-11 14:18:32,boredpanda.com,8legs.app,Britons were evacuated from a cruise ship due to hantavirus concerns and taken to quarantine.
2026-05-11 13:28:37,headtopics.com,ie.headtopics.com,Irish nationals evacuated from hantavirus affected cruise.
2026-05-11 12:46:03,univision.com,univision.com,Hantavirus reaches Nebraska with repatriated Americans from the Canary Islands.
2026-05-11 12:21:19,memeorandum.com,11alive.com,French individual repatriated after hantavirus case on cruise.
2026-05-11 11:00:28,headtopics.com,ie.headtopics.com,Irish passengers quarantined due to hantavirus
2026-05-11 11:00:28,headtopics.com,se.headtopics.com,Woman warned of hantavirus in Paris
2026-05-11 10:52:00,cnnindonesia.com,cnnindonesia.com,France confirms first hantavirus case
2026-05-11 10:47:02,lemonde.fr,lemonde.fr,Une Française rapatriée du navire est diagnostiquée positive au hantavirus.
2026-05-11 10:39:33,dailykos.com,dailykos.com,Report on new regulations in France related to hantavirus
2026-05-11 10:36:31,marca.com,marca.com,A Civil Guard has died related to an outbreak of hantavirus during the arrival of the cruise MV Hondius in Tenerife.
2026-05-11 10:28:08,marca.com,marca.com,The Hantavirus cruise reopens the debate on whether climate events could have acted directly in Tenerife.
2026-05-11 10:17:34,dailymail.co.uk,dailymail.co.uk,There are new cases of hantavirus related to a cruise in the UK.
2026-05-11 10:17:34,dailymail.co.uk,dailymail.co.uk,Spain claims it took measures to prevent hantavirus spread after passengers tested positive.
2026-05-11 09:45:21,independent.co.uk,independent.co.uk,Updates on hantavirus symptoms related to a ship incident in the UK
2026-05-11 09:38:43,independent.co.uk,independent.co.uk,New cases of hantavirus identified on a cruise ship in the UK.
2026-05-11 09:30:53,headtopics.com,sg.headtopics.com,French woman tests positive for hantavirus infection.
2026-05-11 08:56:37,headtopics.com,ng.headtopics.com,Evacuation of hantavirus-hit ship begins in Canary Islands
2026-05-11 08:52:16,euractiv.com,euractiv.com,French passenger from hantavirus-affected ship tests positive
2026-05-11 08:49:32,whdh.com,whdh.com,"Two passengers, one French and one American, have tested positive for hantavirus after being evacuated from a cruise ship."
2026-05-11 08:36:52,memeorandum.com,wltx.com,French hantavirus case repatriated from MV Hondius
2026-05-11 08:36:52,memeorandum.com,forbes.com,US passenger and French woman test positive for hantavirus after cruise ship evacuation
2026-05-11 08:18:42,dailymail.co.uk,dailymail.com,British passengers on a cruise ship are quarantined due to Hantavirus symptoms after landing.
2026-05-11 08:11:46,headtopics.com,ca.headtopics.com,French woman tests positive for hantavirus after evacuation.
2026-05-11 08:11:46,headtopics.com,es.headtopics.com,Spanish passengers from the hantavirus ship are discussed.
2026-05-11 08:08:15,marca.com,marca.com,A Civil Guard has died during the disembarkation of the MV Hondius due to a hantavirus outbreak in Tenerife.
2026-05-11 07:46:14,infonews.ca,infonews.ca,A French woman evacuated from a cruise ship has tested positive for hantavirus.
2026-05-11 07:45:06,dailymail.co.uk,dailymail.com,British passengers from a cruise ship are quarantined after a Hantavirus case emerges during flight home.
2026-05-11 07:27:18,headtopics.com,fr.headtopics.com,A first positive hantavirus case has been announced in France.
2026-05-11 07:27:18,headtopics.com,it.headtopics.com,Hantavirus is present in Tenerife and its consequences are discussed.
2026-05-11 07:24:30,straitstimes.com,straitstimes.com,A French passenger from a hantavirus-affected ship has tested positive for the virus.
2026-05-11 07:08:49,metro.co.uk,metro.co.uk,British passengers on a cruise affected by hantavirus arriving at a hospital in the UK
2026-05-11 06:42:30,the-independent.com,the-independent.com,"There is a hantavirus outbreak linked to a cruise ship in the UK, with information on symptoms."
2026-05-11 05:07:28,headtopics.com,ch.headtopics.com,Eruption of hantavirus on the island of Tenerife
2026-05-11 03:45:39,headtopics.com,ch.headtopics.com,Four ship passengers were brought to Germany due to hantavirus.
2026-05-11 03:07:45,headtopics.com,ch.headtopics.com,Evacuation of hantavirus-infected ship Hondius in Tenerife
2026-05-10 23:25:30,msnbc.com,ms.now,Evacuations of passengers due to hantavirus on a cruise in Spain
2026-05-10 22:32:10,lemonde.fr,lemonde.fr,The government aims to break the transmission chains of hantavirus after symptoms in French cruise passengers
2026-05-10 22:27:52,whdh.com,whdh.com,Passengers from a cruise ship affected by hantavirus are being evacuated and returning home from the Canary Islands.
2026-05-10 22:24:53,headtopics.com,de.headtopics.com,German passengers on the Hondius are reportedly at risk of hantavirus.
2026-05-10 21:35:34,headtopics.com,ie.headtopics.com,Irish passengers evacuated from ship hit by hantavirus
2026-05-10 20:22:49,gbnews.com,gbnews.com,News on Britons being evacuated from a hantavirus-infected cruise ship.
2026-05-10 20:03:56,headtopics.com,de.headtopics.com,Hantavirus outbreak reported on cruise ship among Germans
2026-05-10 19:58:04,huffpost.com,huffpost.com,There was a hantavirus outbreak connected to a cruise ship affecting Spanish passengers returning to Madrid.
2026-05-10 19:55:06,news.yahoo.com,news.yahoo.com,One repatriated French passenger from a hantavirus situation.
2026-05-10 19:49:02,dailymail.co.uk,dailymail.com,Report about British passengers evacuated due to Hantavirus concerns on a cruise
2026-05-10 19:44:51,10news.com,10news.com,A plane carrying Spanish passengers from a cruise ship affected by hantavirus is departing for Madrid.
2026-05-10 19:42:31,laopinion.com,laopinion.com,Images of the evacuation of passengers from the cruise ship affected by hantavirus in Spain
2026-05-10 19:37:20,marca.com,marca.com,14 Spanish citizens returning to Madrid after experiencing hantavirus on a cruise ship.
2026-05-10 19:37:20,marca.com,marca.com,French nationals evacuated from a cruise ship presenting hantavirus symptoms while on a flight to Paris.
2026-05-10 12:04:32,headtopics.com,za.headtopics.com,Spanish passengers permitted to disembark from a ship after hantavirus concerns.
