,source,target,reasoning,support_text
0,Alice,Her Sister,They sit together on the bank while Alice peeps into the book her sister is reading.,Alice was beginning to get very tired of sitting by her sister on the bank
1,Alice,White Rabbit,"Alice sees, hears, and chases the White Rabbit, placing them in the same scene.",a White Rabbit with pink eyes ran close by her
2,Alice,Dinah,"Alice talks about and to Dinah, thinking of her during the fall and dreaming of walking with her.","Dinah'll miss me very much to-night, I should think!"
3,Alice,White Rabbit,Alice directly addresses the White Rabbit for help and he reacts by dropping his gloves and fleeing.,"If you please, sir— The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away"
4,White Rabbit,The Duchess,"The White Rabbit references the Duchess, fearing her anger at being kept waiting.","Oh! the Duchess, the Duchess! Oh! won’t she be savage if I’ve kept her waiting!"
5,Alice,The Mouse,Alice speaks to the Mouse in the pool and they converse with each other.,"O Mouse, do you know the way out of this pool? … Not like cats! cried the Mouse"
6,Alice,Dinah,Alice talks at length about her cat Dinah while addressing the Mouse.,I wish I could show you our cat Dinah: I think you’d take a fancy to cats
7,The Mouse,Dinah,"The Mouse reacts strongly to the mention of Dinah, declaring hatred of cats.","Our family always hated cats: nasty, low, vulgar things!"
8,Alice,Ada,Alice thinks about Ada while questioning her own identity.,"I’m sure I’m not Ada, she said, for her hair goes in such long ringlets"
9,Alice,Mabel,Alice considers whether she might be Mabel and contrasts their knowledge.,"I’m sure I can’t be Mabel, for I know all sorts of things"
10,Ada,Mabel,Ada and Mabel are mentioned together in Alice’s self-comparison within the same sentence.,I’m sure I’m not Ada… and I’m sure I can’t be Mabel
11,Alice,Her Brother,Alice recalls her brother’s Latin Grammar to decide how to address the Mouse.,she remembered having seen in her brother’s Latin Grammar
12,Alice,William the Conqueror,Alice references William the Conqueror while speculating about the Mouse’s origin.,"I daresay it’s a French mouse, come over with William the Conqueror"
13,The Mouse,William the Conqueror,The Mouse and William the Conqueror are mentioned together in the same sentence as Alice speculates about the Mouse’s origin.,"it’s a French mouse, come over with William the Conqueror"
14,Alice,The Farmer,Alice mentions the farmer who owns the clever little dog she describes.,"and it belongs to a farmer, you know, and he says it’s so useful"
15,Alice,Lory,Alice and the Lory argue and later discuss Dinah.,'she had quite a long argument with the Lory' ... 'And who is Dinah...?' said the Lory.
16,Alice,Mouse,Alice and the Mouse repeatedly address each other during the drying lecture and tale.,"'How are you getting on now, my dear?' ... turning to Alice'; 'You are not attending! said the Mouse to Alice.'"
17,Mouse,Lory,The Mouse and the Lory exchange remarks during the history lesson.,'I beg your pardon! said the Mouse... Did you speak?' — 'Not I! said the Lory.'
18,Mouse,Duck,The Duck questions the Mouse about the archbishop's 'finding.',"'Found what? said the Duck.' — 'Found it,' the Mouse replied."
19,Dodo,Eaglet,The Eaglet interrupts the Dodo's speech.,"'In that case, said the Dodo...' — 'Speak English! said the Eaglet.'"
