idx,source,target,reasoning,support_text
0,Alice,Dinah,"Alice interacts with Dinah, referring to her in the context of actions related to the kittens.","Really, Dinah ought to have taught you better manners!"
1,Alice,Kitten,"Alice talks to the kitten, expressing her thoughts and giving it commands.","Oh, you wicked little thing! cried Alice, catching up the kitten."
2,Alice,Black Kitten,Alice references the black kitten while discussing the kitten's behavior.,But the black kitten had been finished with earlier in the afternoon.
3,Alice,White Kitten,Alice interacts with the white kitten while addressing its faults.,You squeaked twice while Dinah was washing your face this morning.
4,Alice,Snowdrop,Alice references Snowdrop when discussing the kitten's actions while serving milk.,you pulled Snowdrop away by the tail just as I had put down the saucer of milk before her!
5,Alice,Red Queen,Alice pretends that the kitten is the Red Queen in a playful imagination.,"Let s pretend that you re the Red Queen, Kitty!"
6,Alice,White King,Alice interacts with the White King and helps him.,"Alice picked him up very gently, and lifted him across more slowly."
7,Alice,White Queen,Alice assists the White Queen and interacts with her as they deal with the situation involving Lily.,"the Queen gasped, and sat down: the rapid journey through the air had quite taken away her breath."
8,White Queen,Lily,"The White Queen expresses concern for her daughter, Lily.",My precious Lily! My imperial kitten!
9,White King,White Queen,The White King and White Queen interact while discussing the events happening around them.,You haven t got any whiskers.
10,Alice,Tiger-Lily,"They interact when Alice wishes the flower could talk, and the Tiger-lily responds.","O Tiger-lily, said Alice, addressing herself to one that was waving gracefully about in the wind, I _wish_ you could talk! We _can_ talk, said the Tiger-lily."
11,Alice,Rose,"Alice speaks to the Rose, and the Rose comments on Alice's appearance.","It isn t manners for us to begin, you know, said the Rose, and I really was wondering when you d speak!"
12,Alice,Daisy,Alice interacts with the Daisy as the Daisy comments on the tree.,"There s the tree in the middle, said the Rose: what else is it good for?"
13,Alice,Violet,"The Violet criticizes Alice, creating an interaction.","I never saw anybody that looked stupider, a Violet said, so suddenly, that Alice quite jumped; for it hadn t spoken before."
14,Alice,Red Queen,"Alice has several interactions with the Red Queen, including questions and directions.","Look up, speak nicely, and don t twiddle your fingers all the time."
15,Alice,Larkspur,"Larkspur announces the arrival of the Red Queen, prompting an interaction.",She’s coming! cried the Larkspur.
16,Red Queen,Rose,"Rose advises Alice against approaching the Queen, showing the Queen's authority.","You can’t possibly do that, said the Rose: _I_ should advise you to walk the other way."
17,Red Queen,Tiger-Lily,Tiger-Lily interacts with the situation by commenting critically on the flowers.,"Silence, every one of you! cried the Tiger-lily, waving itself passionately from side to side."
