title,performers,event_dates,price,venue,location,contact_information,description,genres,source_url,cluster
Conexión Latina,Not provided in source.,"March 27, 2026 5:30 PM - 8:00 PM",Not provided in source.,Not provided in source.,Not provided in source.,Name: Christian Arroyo,,,,0
GHOST IN THE CLOVER with guests,Not provided in source.,"March 13, 2026 at 07:00 pm PDT",$14.94,Dante's Live,"350 W Burnside St, Portland, OR, 97209, US","(866) 777-8932, DantesStarTheater@gmail.com","Ghost In The Clover will perform at Dante's Live with guests on March 13, 2026, starting at 08:00 pm.",Not provided in source.,https://www.danteslive.com/tm-event/ghost-in-the-clover-with-guests/,1
River Roads - Portland,Virtuoso pianists from the University of Oregon's solo piano program,"Sunday, February 1, 2026 7:00 PM",Not provided in source.,"Lincoln Hall, Room 75","Portland, Oregon",info@cascadiacomposers.org,River Roads is part of the Oregon Soundscapes Project celebrating Oregon's diverse landscapes through solo piano miniatures crafted by composers from the Pacific Northwest.,Modern Classical,https://www.cascadiacomposers.org/upcoming,2
TWI-HARD: Twilight Saga Triple Feature,Not provided in source.,"January 3, 2026 2:00 pm - 8:30 pm","$24.50 Adults, $22.50 Seniors 65+, $27.50 Members, Free Children 17 and under",PAM CUT’s Tomorrow Theater,"3530 SE Division St., Portland, OR 97202",Email: tomorrow@pamcut.org,Description:,Genres:,Source URL:,3
Hope is Beyond Words Opening Reception & First Friday,Not provided in source.,"April 03, 2026 6:00pm",FREE,The Reser,"12625 SW Crescent St, Beaverton, OR 97005",Not provided in source.,"Join The Reser for the opening reception of “Hope Is Beyond Words,” an exhibition that explores trauma and healing in the community, honoring the voices of survivors. The event includes hands-on activities and discussions centered around healing and connection.",Not provided in source.,https://thereser.org/event/hope-is-beyond-words-opening-reception-first-friday/,1
A Taste of Two Legends - Morton's Portland,Not provided in source.,"March 7, 2026 at 6:30 PM","$155 Per Person (inclusive of tax, gratuity & fees)",Morton's The Steakhouse,"213 Southwest Clay Street, Portland, OR 97201",Not provided in source.,"A five-course dinner featuring exceptional wines from California and Chile, hosted by a seasoned Morton’s chef and a winery representative, highlighting the distinctive flavors and pairs of an exquisite menu.","Food & Beverage, Performing Arts",https://www.eventbrite.com/e/a-taste-of-two-legends-mortons-portland-tickets-1980508211374,4
L.A. Witch,"L.A. Witch, Daiistar, Sun Atoms","Tuesday, March 31st, 2026, at 7:30 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,L.A. Witch will perform live with companions Daiistar and Sun Atoms. The event is for ages 21 and up.,Not provided in source.,https://hawthornetheatre.com/event/l-a-witch/hawthorne-theatre/portland-oregon/,1
Isabeau Waia’u Walker,"Isabeau Waia’u Walker, Girlgoyle, Byland",31 March 2026,US $10.00,Alberta Street Pub,"Portland, OR, US",www.albertastreetpub.com/,"Isabeau Waia’u Walker will be performing alongside Girlgoyle and Byland at Alberta Street Pub in Portland, Oregon.",Not provided in source.,https://www.songkick.com/concerts/43066985-isabeau-waiau-walker-at-alberta-street-pub,1
All Your Friends (DJ Night),Not provided in source.,"Friday, April 24th, 2026 8:30 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,"All Your Friends is an indie dance party event reminiscent of past nightlife, featuring music from bands like Bloc Party and Crystal Castles, aimed at those who connect with the bloghouse and post-punk revival eras.","Indie, Dance",https://hawthornetheatre.com/event/all-your-friends-dj-night-2/hawthorne-theatre/portland-oregon/,5
THE MESSTHETICS + JAMES BRANDON LEWIS,"The Messthetics, James Brandon Lewis","April 17, 2026, at 8:00 pm PDT",$42.72,Star Theater,"13 NW Sixth Avenue, Portland, OR 97209","(866) 777-8932, dantesstartheater@gmail.com","The Messthetics, an instrumental trio featuring members Brendan Canty, Joe Lally, and Anthony Pirog, perform with saxophonist James Brandon Lewis, showcasing their collaborative work and jazz influences.","Jazz, Experimental",https://www.startheaterportland.com/tm-event/the-messthetics-james-brandon-lewis/,6
The Emerson School Open House,Not provided in source.,"February 24, 2026 6:00 pm - 7:00 pm",Free,The Emerson School,"1800 SW 1st Ave. Ste #1, Portland, OR 97201, United States",Not provided in source.,Come learn more about the Emerson School at our annual Open House and discover what makes us unique.,Not provided in source.,https://pdxparent.com/event-single/the-emerson-school-open-house/,1
The Cowork Circle,Not provided in source.,"Thursday, March 19, 2026, from 10:00 AM to 1:00 PM","Free to attend, although donations are appreciated.",Rose City Coffee Co.,"3370 Milwaukie Ave, Portland, OR 97202",Not provided in source.,"A casual coworking meetup for creatives, solopreneurs, and small business owners, providing a space to work and connect in a relaxed atmosphere. Attendees can work on their projects while engaging with other creative professionals.",Not provided in source.,https://www.eventbrite.com/e/the-cowork-circle-tickets-1981388766137,1
PARTICLE KID: AcoustiQuest 2026,Chandler Trey Johnson & Milo Gonzalez,"4 February 2026, 8:00 PM PST",Not provided in source.,Jack London Revue,"529 SW 4th Ave., Portland, OR 97204",Not provided in source.,"Micah, Aroyn & Milo will perform raw unplugged songs. The event features live water cymatics/visuals by SisterLu. The composer/multi-media artist Micah Nelson, known as Particle Kid, has an expansive creative output influenced by various artists and media.",Psychedelic,https://www.ticketweb.com/event/particle-kid-acoustiquest-2026-w-jack-london-revue-tickets/14008624,7
Mad Caddies,Mad Caddies,"Sunday, February 1st, 2026 at 8:00 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,"The event features a performance by the Mad Caddies, taking place at the Hawthorne Theatre, with an age restriction of 21 and over.",Not provided in source.,https://hawthornetheatre.com/event/mad-caddies-2/hawthorne-theatre/portland-oregon/,1
Alton Miller Live Performance,"Alton Miller, Krista Basis, Phæjay","January 16, 2026",$15-$25,Sonder Listening Bar,"Hollywood District, Portland",Not provided in source.,"Experience a four-hour set from Detroit house music legend Alton Miller, known for his soulful and funk-influenced house music, along with performances by local DJs Krista Basis and Phæjay.",House Music,https://everout.com/portland/articles/the-best-bang-for-your-buck-events-in-portland-this-mlk-day-weekend-jan-16-19-2026/c6210/,8
Ell Sallad at Fort George,Ell Sallad,"January 18, 2026, 6:00 PM",No cover,Fort George,"14th and Duane St., Astoria",Not provided in source.,"Ell Sallad, a 'grunge grass' group from Portland, will perform at the Fort George, blending influences from rock, reggae, classical, and grunge.","Grunge grass, rock, reggae, classical",https://discoverourcoast.com/2026/01/15/ell-sallad-a-grunge-grass-group-from-portland-will-play-at-the-fort-george/,9
Typhoon Turns Twenty,"Typhoon, Black Belt Eagle Scout, Lost Lander","January 20, 2026 - January 21, 2026",Not provided in source.,Revolution Hall,Buckman,Not provided in source.,Typhoon celebrates their 20th birthday with two nights of special performances featuring their music and supporting acts.,"Rock, Post-Rock, Indie Pop",https://everout.com/portland/articles/the-top-33-events-in-portland-this-week-jan-20-25-2026/c6212/,10
Dueling Piano Show,Not provided in source.,"March 13, 2026, 8:00 PM",Not provided in source.,Barrel Room Portland,"120 NW Couch, Portland, OR 97209",503-242-0700,"Join us for an unforgettable evening filled with laughter, music, and interactive excitement at the Dueling Piano Show, where talented pianists bring your favorite songs to life in an all-request format.",Not provided in source.,https://www.barrelroompdx.com/shows/345709,1
7th Annual Cedar Hills Pub IPA Festival,Not provided in source.,"Saturday, February 7, 2026",Not provided in source.,Cedar Hills,"2885 SW Cedar Hills Blvd. Beaverton, OR, 97005",(503) 641-0151,"This festival celebrates the experimentation of brewing with new styles and ingredients alongside traditional favorites, featuring McMenamins breweries, guest brewers, ciders, and additional activities.",Not provided in source.,https://www.mcmenamins.com/events/273837-7th-annual-cedar-hills-pub-ipa-festival,1
Jam-Packed!: A brand new sketch comedy show from The Sisters of Mercy,"The Sisters of Mercy (Shelley McLendon, Laura Sams, Erin Jean O'Regan, Lori Ferraro)","March 27, 2026 at 8:00 PM","$20.00 in advance, $25.00 at the door",The Siren Theater,"3913 N. Mississippi Ave, Portland, OR 97227",http://www.sirentheater.com,"A new sketch comedy show titled ""Jam-Packed!"" performed by The Sisters of Mercy, featuring all new sketches. This group has a reputation for delivering top-notch comedy and their performances often sell out.",Sketch Comedy,https://www.merctickets.com/events/182973284/a-brand-new-sketch-comedy-show-from-the-sisters-of-mercy,11
SOLD OUT Amy Miller,Amy Miller,"January 25, 2026 at 7:30 PM",$22.00,The Siren Theater,"3913 N. Mississippi Ave, Portland, OR 97227",Not provided in source.,"Amy Miller, a nationally touring comedian known for her appearances on Comedy Central and various podcasts, returns to The Siren Theater. The event is sold out.",Comedy,https://www.merctickets.com/events/178791506/sold-out-amy-miller,12
The Get Tight,"Xan McCurdy, Garth Klippert, Allen Hunter, Adam Beam","March 6, 2026 9:00 pm - 11:30 pm",$10,Laurelthirst Public House,Not provided in source.,Not provided in source.,"The Get Tight is an instrumental funk/soul-inspired band from Portland, Oregon, known for their energetic, instrumental-focused performances featuring tight grooves and danceable rhythms.","Funk, Soul",https://laurelthirst.com/events/the-get-tight/,13
Music + Lantern Viewing Night,Not provided in source.,"March 8, 2026 5:30 PM – 7:30 PM",$22.95,Lan Su Chinese Garden,"239 NW Everett Street, Portland, OR 97209","503-228-8131, [email protected]","Enjoy an enchanting lantern-lit evening accompanied by live Chinese music, perfect for those who love the garden’s nighttime glow at a slower, more intimate pace.",Not provided in source.,https://lansugarden.org/events/week/2026-03-13/,1
Oregon Ballet Theatre: The Sleeping Beauty,Not provided in source.,"February 15, 2026 at 2:00 PM",Not provided in source.,Not provided in source.,Not provided in source.,(866) 459 9233,"The event features a performance of ""The Sleeping Beauty"" by the Oregon Ballet Theatre.",Not provided in source.,https://americanarenas.com/events/oregon-ballet-theatre-the-sleeping-beauty-portland-sunday-february-15-2026-200-pm/,1
Michelle Medler Quartet MMQ at JAZZ FEST - Music Rules the World,Michelle Medler Quartet,"Saturday, March 14, 2026 7:00 pm",$25,Burlingame Space,"8423 SW Terwilliger Blvd PORTLAND, OR, 97219","Customer Support: 6200 SW Virginia Ave, Suite 208 Portland, OR 97239 [email protected] 1-800-820-9884","Michelle Medler Quartet, featuring multi-instrumentalist Michelle Medler and her band, will perform at the JAZZ FEST in Portland. They will present their project titled “Music Rules the World,” which has received international radio play.",Not provided in source.,https://tickettomato.com/event/9908/michelle-medler-quartet-mmq-at-jazz-fest-music-rules-the-world-at-bspace,1
Lady Sings the Blues - A Tribute to Billie Holiday,Featured performers TBA,"Saturday, April 04, 2026, 7:30 PM",Not provided in source.,Alberta Rose Theatre,"3000 NE Alberta Street, Portland, OR 97211","booking@albertarosetheatre.com, 503.719.6055","The event is the 19th Annual Billie Holiday Tribute Night celebrating Jazz Appreciation Month and Billie Holiday's birthday. It features various musicians paying tribute to Billie Holiday, a pivotal figure in jazz music.",Jazz,https://albertarosetheatre.com/event/lady-sings-the-blues-a-tribute-to-billie-holiday-5/alberta-rose-theatre/portland-oregon/,14
Song Suffragettes PNW,"LaRhonda Steele, Rachel Brashear, Leah Hinchcliff, Naomi LaViolette, The Cider Janes","March 8, 2026 6:00 PM",Not provided in source.,McMenamins Kennedy School,Portland,Not provided in source.,"An eclectic mix of four female solo artists and a female folk trio from the Pacific Northwest performing on International Women's Day, celebrating women's voices and artistry.","gospel, soul, blues, indie-pop, jazz, folk, Americana",https://dopdx.com/events/2026/3/8/song-suffragettes-pnw-tickets,15
Level Up Your Magic the Gathering Game Play,Sasha Jelten,"March 14, 2026, 10:00 am - 2:30 pm",$65,PAM CUT,"934 SW Salmon St, Portland, OR",info@pamcut.org; 503-221-1156,"This hands-on workshop for youth ages 11–14 focuses on playing Magic: The Gathering (MTG) while enhancing strategic thinking and design skills. Participants will learn core mechanics with guidance from game designer Sasha Jelten, featuring matches, deck building, and a creative approach to gameplay.",Not provided in source.,https://portlandartmuseum.org/event/level-up-your-magic-the-gathering-game-play/,1
Raising Bilingual Children,Not provided in source.,"April 17, 2026, 6:00 PM – 7:00 PM","General Admission: $25, Member Admission: $20",Nordia House,"8800 SW Oleson Rd, Portland, OR 97223, USA",503.977.0275,"This program offers parents and caregivers an introduction to bilingualism, exploring its forms and how children experience language development. It provides practical guidance for supporting bilingual journeys.",Not provided in source.,https://www.nordicnorthwest.org/event-details/raising-bilingual-children,1
Leo Moon Trio,Leo Moon Trio,"Nineteenth of March, 2026 at 9:00 PM",$10,Laurelthirst Public House,Not provided in source.,Not provided in source.,"Leo Moon is the solo incarnation of songwriter & multi-instrumentalist, Brian Adrian Koch. Known for his minimal and haunting tunes, Brian has been active in the Portland music scene since 2000.",Not provided in source.,https://laurelthirst.com/events/leo-moon-trio-2/,1
Music + Lantern Viewing Night,Live Chinese music,"March 6, 2026, 5:30 PM – 7:30 PM",$22.95,Lan Su Chinese Garden,"239 NW Everett Street, Portland, Oregon 97209","503-228-8131, [email protected]","Enjoy an enchanting lantern-lit evening accompanied by live Chinese music in a garden setting, designed for a slower, more intimate experience.",Not provided in source.,https://lansugarden.org/event/music-lantern-viewing-night/2026-03-06/,1
Caltucky - Live at Tomorrow's Verse,Caltucky,"Saturday, March 28, 2026, 8:00 PM",$15,Tomorrow's Verse,"4605 NE Fremont St, Portland, OR, 97213",(971) 346-2198,Caltucky is a progressive bluegrass band known for their lively performances that blend traditional string music with elements of jam and Americana.,Bluegrass,https://tickettomato.com/event/9939/caltucky-live-at-tomorrow-s-verse,16
Girl Fiend + Bloodsugar + Spyglass + Sit Pretty,"Girl Fiend, Bloodsugar, Spyglass, Sit Pretty","April 04, 2026, 8:00 PM",$10.00 + $1.50 fee + $0.29 ticket service fee,Swan Dive,"727 SE Grand Ave, Portland, OR 97214, USA",joelchristerson@gmail.com,"A music event featuring multiple performers including Girl Fiend, Bloodsugar, Spyglass, and Sit Pretty.",Not provided in source.,https://www.lonelygodpdx.com/events/girl-fiend-bloodsugar-spyglass-sit-pretty-swan-dive,1
Open Mic Comedy Night,Not provided in source.,"Thursday, February 26, 2026, 8:00 PM",Free,Al's Den,"Crystal Hotel, 303 SW 12th Avenue, Portland, OR, 97204",(503) 972-2670,Join us for Open Mic Night at Al's Den! Experience comedians trying out new material in a relaxed evening filled with laughter and good food & drinks. It's a great opportunity for both comedians and those looking for a fun night out.,Comedy,https://www.mcmenamins.com/events/274435,12
"SOLD OUT: GLOW JOB 2026: TWO GLOWS, ONE CLUB (Night Two)",Not provided in source.,"7 March 2026, 8:00 PM PST",Not provided in source.,Star Theater,"13 NW Sixth Avenue, Portland, OR 97209",Not provided in source.,GLOW JOB 2026 is a black light party where attendees must dress to glow. The event promises an immersive experience with thousands of watts of black light and unique costumes. It is an LGBTQ+ and 21+ event.,Dance/Electronic,https://www.ticketweb.com/event/sold-out-glow-job-2026-star-theater-tickets/14680823,17
MIDWINTER BASH,"Trinity Sound, Small Axe Sound, DJ Mafia, Pressure Down Sound","January 23, 2026, at 7:00 PM PST",$1.03,Star Theater,"13 NW Sixth Avenue, Portland, OR 97209","(866) 777-8932, dantesstartheater@gmail.com",Join us for the MIDWINTER BASH featuring a lineup of top reggae sounds at the Star Theater. This event is geared towards vinyl lovers and promises a warm atmosphere in the middle of winter with performances starting at 7 PM.,Reggae,https://www.startheaterportland.com/tm-event/midwinter-bash/,18
Jarrod Lawson at The Get Down,Jarrod Lawson,"Thursday, March 12, 2026, at 8 PM",Not provided in source.,The Get Down,"680 SE 6th Ave, Portland, OR 97214",Not provided in source.,"Jarrod Lawson, a renowned singer/songwriter and keyboard player, will perform in Portland after receiving notable acclaim, including praise from Michelle Obama. Lawson's music blends jazz, blue-eyed soul, and social commentary, with recent highlights including his album ""Be The Change"" and new collaboration ""Next Move.""","Jazz, Soul",https://everout.com/portland/events/jarrod-lawson/e220405/,19
Melange: A Queer & P.O.C. Variety Show,"Lana Montreese, Destiny Smokez/UmBruh, Heavy Cream, Sneaky boo, Sherwood rider, Suga Coates, MARQUI DE SADE, MISS NICOLE RISQUÉ, RYE","January 25, 2026 6:00 pm",$15,THE CLINTON STREET THEATER,"2522 Southeast Clinton Street, Portland, Oregon, 97202",Not provided in source.,Melange is celebrating its 8th anniversary with a variety show featuring BIPOC entertainment. The event includes performances from various acts and aims to create a safe and inclusive environment for Queers & POC.,Not provided in source.,https://www.tickettomato.com/event/9887/melange-a-queer-amp-p-o-c-variety-show,1
Pati Rojas EP Release Show,"Pati Rojas, Bad Assets, Brooklyn Del and the Revelators","Saturday, February 7, 2026, 7 pm–12 am",$15.92,The Showdown,"1195 SE Powell Blvd, Portland, OR 97202",Not provided in source.,"Pati Rojas celebrates the release of her debut self-titled EP with a six-piece band, featuring local Americana musicians, and will perform songs that blend classic country with blues and Southern rock while paying homage to her Texas roots.","Americana, Country, Blues, Southern Rock",https://everout.com/portland/events/pati-rojas-ep-release-show/e228421/,20
ENTER AFTERLIFE World Tour 2026,WITCHZ,"March 7th, 2026 at 8:00 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",info@roselandpdx.com; gm@hawthornetheatre.com,"WITCHZ presents the ENTER AFTERLIFE World Tour 2026, originally scheduled at Roseland Theater, now taking place at Hawthorne Theatre.",Not provided in source.,https://hawthornetheatre.com/event/witchz-presents-enter-afterlife-world-tour-2026-moved-from-roseland-theater/hawthorne-theatre/portland-oregon/,1
Party Girl - A Night Of Party Girl Anthems - 21+,Not provided in source.,"Friday, March 13 at 9 pm",$15.28,Holocene,"1001 Southeast Morrison Street, Portland, OR 97214",503.239.7639,"A night of Party Girl anthems, remixes, bangers, and club hits aimed at those aged 21 and up.",Not provided in source.,https://www.holocene.org/event/party-girl-a-night-of-party-girl-anthems-21-5/holocene/portland/,1
Nobody’s Sweetheart,Not provided in source.,"Thursday, March 12, 8 pm",$11,McMenamins White Eagle Saloon,"836 N Russell, Portland, OR 97227",Not provided in source.,Nobody’s Sweetheart will perform at McMenamins White Eagle Saloon for a 21+ audience.,Not provided in source.,https://everout.com/portland/events/nobodys-sweetheart-21/e232515/,1
Special Event: Gianmarco Soresi,Gianmarco Soresi,"Wednesday, March 18, 2026 7:00 PM","Saturday, March 21, 2026 7:00 PM",Price:,Venue:,Location:,Contact Information:,Description:,Genres:,21
Bruce Springsteen's 'Land of Hope and Dreams' American Tour,Bruce Springsteen and the E Street Band,"March 21, 2026 to May 27, 2026",Not provided in source.,Various venues across the United States,"Nationwide (including Minneapolis, Portland, Inglewood, San Francisco, Phoenix, Newark, Sunrise, Austin, Chicago, Atlanta, Belmont Park, Philadelphia, New York, Brooklyn, Pittsburgh, Cleveland, Boston, Washington, D.C.)",Not provided in source.,"Bruce Springsteen and the E Street Band are set to embark on their 'Land of Hope and Dreams American Tour', featuring 20 dates from March 21 to May 27, 2026. The tour is meant to honor the values of America, welcoming fans from all backgrounds.",Rock,https://www.today.com/popculture/music/bruce-springsteen-land-hope-dreams-american-tour-dates-rcna259391,22
I LOVE YOU BUT... I CHOSE THE MAINE,The Maine,"Wednesday, April 1st, 2026 at 6:30 PM",Not provided in source.,Roseland Theater,"8 NW 6th Ave, Portland, OR 97209",Not provided in source.,"The Maine will perform at the Roseland Theater, with doors opening at 5:30 PM and the show starting at 6:30 PM. The event is all ages.",Not provided in source.,https://roselandpdx.com/event/i-love-you-but-i-chose-the-maine/roseland-theater/portland-oregon/,1
GrindHouse disco~glam~metal~punk,Not provided in source.,"Saturday, 11 April 2026, 11:30 PM PDT",Not provided in source.,Dante's,"350 West Burnside Street, Portland, OR 97209",Not provided in source.,Not provided in source.,"disco, glam, metal, punk",https://www.ticketweb.com/event/grindhouse-discoglammetalpunk-dantes-tickets/14052814,23
