entity,genre
Pokey LaFarge,folk
Aladdin Theater,folk
Cicada Rhythm,folk
Jack London Revue,folk
Adam Neely,folk
Lau Noah,folk
Wonder Ballroom,folk
Eivør,folk
White Eagle Saloon,folk
Showman and Coole,folk
John Showman,folk
Chris Coole,folk
Anna Tivel,folk
Mississippi Studios,folk
Texas,folk
Goodnight,folk
Roseland Theater,folk
Band of Horses,folk
Moda Center,folk
Allen Stone,folk
Lila Forde,folk
Shawn James,folk
McMenamins Mission Theater,folk
Great Lake Swimmers,folk
Maggie Ray,folk
Jackson Warner and the Damn Well Please,folk
ReveleveR,folk
Polaris Hall,folk
Laura Veirs,folk
Joshua Josue,folk
Dan Wetzel,folk
Artichoke Community Music,folk
Kristen Grainger,folk
True North Duo,folk
Liz Longley,folk
Hazlett,folk
Strange & the Familiars,folk
Flying Caravan,folk
Alberta Street Pub,folk
Fern Spores,folk
Allison Russell,folk
Jimmy Grant,folk
Eva Slongo,folk
Paulus Schafer,folk
Trinity Jane,folk
Anna Graves,folk
Alberta Rose Theatre,folk
Led Kaapana,folk
George Kahumoku Jr,folk
Jeff Peterson,folk
Oxbow Brewing Company,folk
Phillip Phillips,folk
The Old Church Concert Hall,folk
Beth Orton,folk
Hillbilly Supper Club,folk
Maya de Vitry,folk
Crys Matthews,folk
Artichoke Music,folk
Ben Landsverk,folk
Kyleen King,folk
Shawn Brown,folk
Tracy Grammer,folk
The Alberta Rose Theatre,folk
Singacoustic,folk
KC Craine,folk
Tin Compass,folk
The Old Yellers,folk
The Tillinghast Mtn Duo,folk
Clay Street Studios,folk
Downey Chase,folk
Cole Scheifele,folk
Free Creatures,folk
Emily Turner,folk
Alcyon Massive,folk
Heaven Zest,folk
Showdown Saloon,folk
Madeline Hawthorne,folk
Cristina Vane,folk
Natalie Ribbons,folk
Tele Novella,folk
Jason Chronis,folk
Richard Gilewitz,folk
Hannah Glavor,folk
Anna Diem,folk
Emily Jeanne Brown,folk
Twilight Cafe and Bar,folk
Carrie Nation & the Speakeasy,folk
Jeshua Marshall,folk
Beggars Canyon,folk
Clyde & the Milltailers,folk
Old Cold Store,folk
Karl Blau,folk
Fabrizio,folk
Funhouse Seattle,folk
Clyde and the Milltailers,folk
Carsie Blanton,folk
The Burning Hell,folk
Arlene Schnitzer Concert Hall,folk
Gregory Alan Isakov,folk
Atlantis Lounge,folk
Grob Gob Glob Grod,folk
Sanity Please,folk
Paraffin Dove,folk
Galen Fraser,folk
María San Miguel,folk
San Miguel Fraser,folk
Shiloh Mae,folk
Sean Martin West,folk
Brian McClintic,folk
Z Musikmakers,folk
Portland Dance Center,folk
Bethany Village Shopping Complex,folk
Mississippi Pizza & Atlantis Lounge,folk
Barry Walker Unit,folk
Serafima,folk
Sanae Yamada,folk
Richard B. Simon,folk
Eihwar,folk
Jess Ray,folk
John Van Deusen,folk
Village Grace Church,folk
Nordia House,folk
nordicnorthwest.org,folk
Casey Schissler,folk
Mars FM,folk
Nicholas James & The Giant Peach,folk
The Painted Roses,folk
Desert Hollow,folk
Xander Hitzig,folk
Nicole Olney,folk
The Abettors,folk
Happy For No Reason,folk
Crystal Ballroom,folk
Altin Gün,folk
Marin Seven,folk
Drift.Co,folk
Marin & Rare Company,folk
Drift Co,folk
Katelyn Eisenhooth,folk
Seth Brewster,folk
Buffalo Kin,folk
Rachael Sage,folk
Madison Ryann Ward,folk
Silvana Estrada,folk
PSG,folk
Kyle J. Glenn,folk
Emerson Parker,folk
Brent Calderwood,folk
winsom,folk
Eric Douglas,folk
Ken Gaines,folk
Pioneer Place,folk
Brenna Larsen,folk
YSL,folk
Sophie Bird,folk
Lilly Miller,folk
Sabrina Saed,folk
Andrew Jones,folk
Alex Callenberger,folk
Lazarus,folk
Brandon Warren,folk
Skelton Hands,folk
Steve Berlin,folk
Ulric Cowley,folk
Peter Nimphius,folk
Scott Benoit,folk
Kyle McInnis,folk
Etta Dean,folk
Aslin,folk
Haymaker Bar,folk
Dander,folk
The Wood Dusters,folk
Star Theater,folk
MaMuse,folk
Soul'd Out Productions,folk
Tomorrow Theater,folk
Ned and Wendy the Band,folk
The Jack London Revue,folk
Bikini Trill,folk
Jon Wiilde,folk
Laurelthirst Public House,folk
Kendall Lujan,folk
Ezza Rose,folk
Arran Fagan,folk
Carson Ponce,folk
PDX Songwriter’s Guild,folk
Pioneer Courthouse Square,folk
Sixth+Main,folk
Ian Joe Bailey,folk
Tom May,folk
Portland Folk Music Society,folk
Anne-Louise Sterry,folk
Night Heron,folk
LEMAT,folk
Caicedo,folk
Yūgen,folk
Max Bunster,folk
Tim Jordan,folk
Jody Carroll,folk
Ween,folk
Poopship,folk
mollyBANG,folk
Moonrow,folk
Jojo Gold,folk
Chris Baron Music,folk
Spinellas,folk
Woodlander,folk
Nat Lefkoff,folk
Solange Paape-Igoa,folk
Kathryn Claire and the Whylands,folk
Victor Artis,folk
Shawn Brown Band,folk
Brooks Robertson,folk
Amy Helm,folk
Sean Hayes,folk
Revolution Hall,folk
Grateful Dead,folk
David Rawlings,folk
Gillian Welch,folk
Ryder Wolfe and the Hunt,folk
BAILEN,folk
Falcon Heart,folk
The Get Ahead,folk
Emma Hardyman,folk
Little Moon,folk
Kingfishr,folk
Tadhg Nolan,folk
River Spell,folk
John-Robert,folk
Edda Glass,folk
Max Hatt,folk
Pedro Pastor,folk
The BraziBites,folk
Nei Van Soria,folk
Destinie Lynn,folk
Damn Tall Buildings,folk
Glitterfox,folk
Nighttime Hotline,folk
Eric Stalker,folk
AC Sapphire,folk
Ani DiFranco,folk
Valerie June,folk
Japanese Breakfast,folk
Modest Mouse,folk
Team Dresch,folk
Acid Bath,folk
Tomahawk,folk
Muna,folk
Valeria June,folk
The Melvins,folk
Vince Staples,folk
The Breeders,folk
DUG,folk
The Showdown,folk
Chris Costalupes,folk
The Midnight PDX,folk
The SIX Music Venue,folk
J Killen,folk
Aaron Acapella,folk
Swan Dive,folk
Holy Catholic Social Club,folk
Sam Milton & Co.,folk
Story & Tune,folk
Portland Parks & Recreation,folk
Blaine Heinonen,folk
Pete Kartsounes,folk
Noah Kahan,folk
Coldplay,folk
Vance Joy,folk
Sam Nicholson,folk
The Side Notes,folk
SingAcoustic,folk
The Sidenotes,folk
James McMurtry,folk
Closebye,folk
American Idol,folk
Alejandro Aranda,folk
Legacy Ukelele Ensemble,folk
Peter Luongo,folk
The Prairie Benders,folk
Garreson,folk
SUNTEX,folk
Brett Sisun,folk
Ben Walden,folk
Luna Tortuga,folk
Alexie Paige,folk
Kells Brewery,folk
Sensah Duet,folk
Sam Gelband,folk
Devin Champlin,folk
Lucky Star,folk
First Name Basis,folk
Stella Jones,folk
Rose City Book Pub,folk
The Land Seeds,folk
Flyover States,folk
Idea the Artist,folk
Easyfolk,folk
Linda Thompson,folk
Teddy Thompson,folk
Richard Thompson,folk
Portland,folk
Porchfest,folk
Overlook Neighborhood,folk
The Apricots,folk
Smokey Brights,folk
Chipped Nail Polish,folk
Swinging,folk
Turn! Turn! Turn!,folk
Devin Shaffer,folk
Maddi Baird,folk
Connor Cushman,folk
Susannah Anders,folk
Henry Fortier,folk
Superplume,folk
Evan O’Kelly,folk
Jason Ewald,folk
Alexa Melo,folk
Trill Lebeau,folk
Mr. Ben,folk
Hostel Cafe,folk
Searows,folk
Alec Duckart,folk
Josh Fortenbery,folk
smilepile,folk
Hannah Lew,folk
Grass Widow,folk
Nowhere Flower,folk
Strange Babes,folk
Lila Jarzombek,folk
Cold Beat,folk
John Gorka,folk
Alexis Mahler,folk
Joe Kye,folk
Mother Foucault's Bookshop,folk
Grace,folk
Kayla Kennett,folk
Autumn Bradford,folk
Pablo Murillo-Edwards,folk
Emma Smith,folk
Yucky Star,folk
l’école buissonnière,folk
Hannah Morton,folk
Ed Skoog,folk
Shawn Levy,folk
Joshua Pollock,folk
Maudie Ainsworth,folk
Twin Bridges,folk
Sawyer Fredericks,folk
Mariel Buckley,folk
Dog Mom,folk
Kitchen Congregation,folk
Essie & The Hum,folk
Holocene,folk
Shanea,folk
Unseen Object,folk
Starz Of Da Bizzare,folk
Faun Fables,folk
The Crane Wives,folk
Yasmin Williams,folk
The Turkey Buzzards,folk
Ásgeir,folk
Kyle Glenn & The Wandering Kind,folk
Taylor Kingman,folk
Brett Dennen,folk
Jaimee Harris,folk
Gretta Seabird,folk
Joel Shelley,folk
Paolo Angeli,folk
Hawthorne Hideaway,folk
Megan Cronin,folk
Brody Schenk,folk
The Montvales,folk
Creekbed,folk
Carter Hogan,folk
Music Millennium,folk
Matt Pless,folk
Door Of Hope,folk
Arbour Season,folk
Callan Brown,folk
Dominick Antonelli,folk
Peter Nevins,folk
Fox and Bones,folk
Dustin Dale Gaspard,folk
McMenamins White Eagle Saloon & Hotel,folk
Jason Lenyer Buchanan,folk
Second Chance Records LLC,folk
Dante's,folk
Olivia Lyon,folk
Hannah Wood,folk
Chasing Ebenezer,folk
Aloha Community Farmers' Market,folk
Heidi Beth Sadler,folk
Benjamin Sadler,folk
Frankie and the Lost Souls,folk
Erica,folk
Sebastian,folk
Three for Silver,folk
Mississippi Pizza,folk
Forest Ray,folk
Oxbow Live,folk
City of the Sun,folk
Zach Para,folk
John Pita,folk
Fleetwood Mac,folk
Stevie Nicks,folk
Hayley Lynn,folk
Laura Gibson,folk
Blair Borax,folk
Second Story Studios,folk
Amos Heart,folk
buffchick,folk
The Riff,folk
Portland Radio Project,folk
B-Side Records & Vintage,folk
Eric Gruber,folk
First Congregational United Church of Christ,folk
Steve Spiegl,folk
Jazz Orchestra,folk
Patina,folk
Glen Phillips,folk
Toad the Wet Sprocket,folk
Brickhouse Bar,folk
James Lee Stanley,folk
Garrison Starr,folk
Young Mister,folk
Louisa Stancioff,folk
Mon Rovia,folk
Oshima Brothers,folk
The Beaches,folk
Jared Benjamin,folk
Jeff Duffy,folk
THE TREE FROGS,folk
Laurelthirst Pub,folk
Girls in Trouble,folk
Alicia Jo Rabins,folk
The Eastside Jewish Commons,folk
Portland Jewish Music festival,folk
Alex Bergan,folk
Ponderosa Lounge & Grill,folk
Tylor & the Train Robbers,folk
Jack,folk
Twilight Room,folk
Chamberlin/Gonzalez,folk
Less and More Coffee,folk
Newmark Theatre,folk
A Taste of Ireland Company,folk
José González,folk
Portland Art Museum,folk
Ben Medler Trio,folk
PNC Live Studio,folk
José Gonzalez,folk
Clara Baker,folk
Rose Gerber,folk
Boy Golden,folk
Sean Solomon,folk
Unknown Mortal Orchestra,folk
Norse Hall,folk
Morgan Orchestra,folk
Adam Lee,folk
James Taylor,folk
