source,target
"Higher Ground, Showcase Lounge",Churchill School
"Higher Ground, Showcase Lounge",Scarboro United Church
"Higher Ground, Showcase Lounge",Noce
"Higher Ground, Showcase Lounge",Wonder Ballroom
"Higher Ground, Showcase Lounge",City Park Bandshell
"Higher Ground, Showcase Lounge",Hidden Craft
"Higher Ground, Showcase Lounge",The Appel Room
"Higher Ground, Showcase Lounge",9th St. Parallel at Knitting Factory
"Higher Ground, Showcase Lounge",Zanzabar
"Higher Ground, Showcase Lounge",The Show at Agua Caliente Casino
"Higher Ground, Showcase Lounge",The Burlingame Space
"Higher Ground, Showcase Lounge",Bethany Baptist Church
"Higher Ground, Showcase Lounge",Brother Don's
"Higher Ground, Showcase Lounge",Lou Lou’s Jungle Room
"Higher Ground, Showcase Lounge",The Merrick Library
"Higher Ground, Showcase Lounge",The Regent Theater
"Higher Ground, Showcase Lounge",Irishtown Bend Taproom (Market Garden Brewery)
"Higher Ground, Showcase Lounge",Belly Up
"Higher Ground, Showcase Lounge",Dimitriou's Jazz Alley
"Higher Ground, Showcase Lounge",The Triple Door
"Higher Ground, Showcase Lounge",Revolution Hall
"Higher Ground, Showcase Lounge",Melody Bar & Grill
"Higher Ground, Showcase Lounge",San Ramon Library
"Higher Ground, Showcase Lounge",Seattle Jazz Fellowship
"Higher Ground, Showcase Lounge",Burlingame Space
"Higher Ground, Showcase Lounge","Aula Picta, Palazzo Vescovile and Teatro Donizetti"
"Higher Ground, Showcase Lounge",The Attic Bar & Stage
"Higher Ground, Showcase Lounge",Classic Grand
"Higher Ground, Showcase Lounge",Sarasota Art Museum
"Higher Ground, Showcase Lounge",Calabash
"Higher Ground, Showcase Lounge",The Southgate House Revival - The Lounge
"Higher Ground, Showcase Lounge",Hollywood Bowl
"Higher Ground, Showcase Lounge",Jackson Hall
"Higher Ground, Showcase Lounge",Center for the Arts Crested Butte
"Higher Ground, Showcase Lounge",Bainbridge High School Theater
"Higher Ground, Showcase Lounge",Neck of the Woods
"Higher Ground, Showcase Lounge",Frederick P. Rose Hall
"Higher Ground, Showcase Lounge",Twin Falls Center for the Arts
"Higher Ground, Showcase Lounge",Kleinter James Gallery
"Higher Ground, Showcase Lounge",Bar & Bean fusion
"Higher Ground, Showcase Lounge",9:30 Club
"Higher Ground, Showcase Lounge",Less and More Coffee
"Higher Ground, Showcase Lounge",Silver Lake Branch Library
"Higher Ground, Showcase Lounge",Vibrato Grill Jazz
"Higher Ground, Showcase Lounge",Historic Chinook School Event Center
"Higher Ground, Showcase Lounge",Clovernook Country Club
"Higher Ground, Showcase Lounge",Night Club 101
"Higher Ground, Showcase Lounge",Duck Foot Brewing Co.
"Higher Ground, Showcase Lounge",Seattle Christian School
"Higher Ground, Showcase Lounge",Rhizome DC
"Higher Ground, Showcase Lounge",La Rosa
"Higher Ground, Showcase Lounge",Dante's
"Higher Ground, Showcase Lounge",Aretha's Jazz Cafe
"Higher Ground, Showcase Lounge",The Old Firehall
"Higher Ground, Showcase Lounge",Alberta Rose Theatre
"Higher Ground, Showcase Lounge",Flushing Town Hall
"Higher Ground, Showcase Lounge",Sandra K. Crown Theater
"Higher Ground, Showcase Lounge",New Haven Green
"Higher Ground, Showcase Lounge",Music Hall
"Higher Ground, Showcase Lounge",King Street Wharf 9
"Higher Ground, Showcase Lounge",Broadway Performance Hall
"Higher Ground, Showcase Lounge",Alphabet City
"Higher Ground, Showcase Lounge","Great Lawn, Yerba Buena Gardens"
"Higher Ground, Showcase Lounge",Fox Theatre
"Higher Ground, Showcase Lounge",Woodlands Tavern
"Higher Ground, Showcase Lounge",KGB Bar | Red Room
"Higher Ground, Showcase Lounge",Bill Graham Civic Auditorium
"Higher Ground, Showcase Lounge",Regattabar
"Higher Ground, Showcase Lounge",The Wine Therapist
"Higher Ground, Showcase Lounge",Lodge Room Highland Park
"Higher Ground, Showcase Lounge",Winter Park Events Center
"Higher Ground, Showcase Lounge",Conways House Of Jazz
"Higher Ground, Showcase Lounge",Symphony Hall
"Higher Ground, Showcase Lounge",Olive & Rose
"Higher Ground, Showcase Lounge",The Phoenix Gallery & Music Hall
"Higher Ground, Showcase Lounge",Fremont Abbey Arts Center
"Higher Ground, Showcase Lounge",Groove
"Higher Ground, Showcase Lounge",Pierce Hall
"Higher Ground, Showcase Lounge",The JAI Cabaret
"Higher Ground, Showcase Lounge",Kingsbury Hall
"Higher Ground, Showcase Lounge",Alter Ego
"Higher Ground, Showcase Lounge",Lyric Opera House
"Higher Ground, Showcase Lounge",TaborSpace
"Higher Ground, Showcase Lounge",Hart Plaza
"Higher Ground, Showcase Lounge",John F. Kennedy Memorial Center For The Performing Arts
"Higher Ground, Showcase Lounge",Aretha’s Jazz Café
"Higher Ground, Showcase Lounge",Sea Monster Lounge
"Higher Ground, Showcase Lounge",The Alberta Rose Theatre
"Higher Ground, Showcase Lounge",Motorco Music Hall
"Higher Ground, Showcase Lounge",Rise Church
"Higher Ground, Showcase Lounge",Music Box
"Higher Ground, Showcase Lounge",Blue Note L.A.
"Higher Ground, Showcase Lounge",O'Malley's
"Higher Ground, Showcase Lounge",7th St Entry
"Higher Ground, Showcase Lounge",Green Mill Jazz Club
"Higher Ground, Showcase Lounge",Dazzle
"Higher Ground, Showcase Lounge",54 Below
"Higher Ground, Showcase Lounge",9th St. Deck
"Higher Ground, Showcase Lounge",Kennedy Center
"Higher Ground, Showcase Lounge",Duck Foot Brewing Company
"Higher Ground, Showcase Lounge",Balboa Theatre - San Diego
"Higher Ground, Showcase Lounge",Val Air Ballroom
"Higher Ground, Showcase Lounge",Edmonds Center For The Arts
"Higher Ground, Showcase Lounge",Downtown Eau Claire
"Higher Ground, Showcase Lounge",Showbox SoDo
"Higher Ground, Showcase Lounge",Clowes Memorial Hall
"Higher Ground, Showcase Lounge",The Pinhook
"Higher Ground, Showcase Lounge",Arsht Center for the Performing Arts
"Higher Ground, Showcase Lounge",Montalvo Arts Center
"Higher Ground, Showcase Lounge",No Fun
"Higher Ground, Showcase Lounge",Jubeck New World Brewing
"Higher Ground, Showcase Lounge",Empty Bottle
"Higher Ground, Showcase Lounge",First Congregational Church
"Higher Ground, Showcase Lounge",Zal Gaz Grotto
"Higher Ground, Showcase Lounge",Madrone Art Bar
"Higher Ground, Showcase Lounge",Hillsboro Downtown Station
"Higher Ground, Showcase Lounge",Alberta Street Pub
"Higher Ground, Showcase Lounge",Jacobs Pavilion
"Higher Ground, Showcase Lounge",Constellation
"Higher Ground, Showcase Lounge",Sable Gallery
"Higher Ground, Showcase Lounge",The Warfield
"Higher Ground, Showcase Lounge",Alberta Rose Theater
"Higher Ground, Showcase Lounge",Keys Jazz Bistro SF
"Higher Ground, Showcase Lounge",Galaxy Hut
"Higher Ground, Showcase Lounge",Dizzy's
"Higher Ground, Showcase Lounge",Hill Auditorium
"Higher Ground, Showcase Lounge",Royal Room
"Higher Ground, Showcase Lounge",Bird & Beckett Books
"Higher Ground, Showcase Lounge",Elsewhere
"Higher Ground, Showcase Lounge",Fountainhead Gallery
