w1,w2,count
a-piece,all,1
abide,by,1
abide,figures,1
about,again,1
about,among,1
about,and,5
about,anxiously,1
about,as,4
about,at,1
about,by,1
about,cats,1
about,change,1
about,children,1
about,donations,2
about,easily,1
about,fifteen,1
about,for,4
about,four,2
about,half,1
about,her,7
about,here,2
about,his,1
about,in,7
about,it,18
about,lessons,1
about,like,2
about,me,1
about,new,1
about,once,1
about,project,2
about,ravens,1
about,read,1
about,reminding,1
about,said,1
about,something,1
about,stopping,1
about,the,11
about,them,1
about,themall,1
about,this,3
about,trouble,1
about,trying,1
about,two,2
about,wasting,1
about,you,1
above,her,1
above,the,1
absence,and,1
absurd,but,1
absurd,for,1
accept,all,1
acceptance,of,1
accepted,but,1
accepted,in,1
accepting,unsolicited,1
access,to,10
accessed,displayed,1
accessible,by,1
accident,all,1
accident,of,1
accidentally,upset,1
accordance,with,2
account,of,1
accounting,for,1
accounts,for,1
accusation,said,1
accustomed,to,1
ache,alice,1
across,her,1
across,his,1
across,the,2
across,to,1
act,of,1
active,links,2
actual,direct,1
actually,took,1
ada,she,1
added,aloud,1
added,and,1
added,as,2
added,come,1
added,in,4
added,it,1
added,looking,1
added,the,7
added,them,1
added,to,2
added,turning,1
added,with,1
adding,youre,1
addition,to,1
additional,cost,1
additional,terms,2
additions,or,1
address,specified,1
addressed,her,1
addressed,to,1
addresses,donations,1
addressing,nobody,1
adjourn,for,1
adoption,of,1
advance,they,1
advance,twice,2
advantage,from,1
advantage,of,1
advantage,said,1
adventures,first,1
adventures,from,1
adventures,in,5
adventures,of,1
adventures,till,1
adventuresbeginning,from,1
advice,from,2
advice,though,1
advisable,found,1
advisable,to,1
advise,you,1
affair,he,1
affectionately,into,1
afford,to,1
afore,she,1
afraid,but,1
afraid,ive,1
afraid,of,3
afraid,said,1
afraid,sir,1
afraid,that,2
after,all,6
after,folding,1
after,glaring,1
after,her,3
after,hunting,1
after,it,5
after,some,1
after,such,1
after,that,3
after,thatonly,1
after,the,4
after,them,1
after,these,1
after,thinking,1
after,this,1
after,waiting,1
after,watching,1
after-time,be,1
afterwards,it,1
afterwards,stuff,1
again,alice,2
again,and,15
again,as,2
again,before,1
again,but,2
again,by-the-bye,1
again,cried,1
again,dear,1
again,dinahll,1
again,for,4
again,heard,1
again,in,3
again,into,1
again,it,1
again,keep,1
again,let,1
again,mine,1
again,no,2
again,or,1
again,please,1
again,repeated,1
again,said,2
again,she,1
again,singing,1
again,sitting,1
again,so,3
again,suddenly,1
again,thats,1
again,the,6
again,then,1
again,they,1
again,this,1
again,to,2
again,took,1
again,twenty-four,1
again,using,1
again,very,1
again,which,1
again,with,1
again,yelled,1
again,you,4
againbefore,she,1
against,accepting,1
against,each,1
against,her,1
against,herself,1
against,it,1
against,one,1
against,the,3
age,as,1
age,it,1
age,knew,1
age,there,1
agent,or,1
ago,and,1
ago,anything,1
agony,of,1
agree,that,2
agree,to,8
agree,with,1
agreed,to,1
agreement,and,2
agreement,before,1
agreement,by,1
agreement,disclaim,1
agreement,for,2
agreement,if,1
agreement,see,1
agreement,shall,2
agreement,the,1
agreement,there,1
agreement,violates,1
agreement,will,1
agreement,you,3
ah,my,1
ah,that,1
ah,thats,1
ah,then,1
ah,well,1
ahem,said,1
air,and,2
air,are,1
air,as,1
air,do,1
air,even,1
air,if,1
air,im,1
air,it,1
air,mixed,1
air,of,1
air,off,1
air,she,1
air,this,1
airs,do,1
alarm,in,1
alarm,this,1
alarmed,at,1
alas,either,1
alas,for,1
alas,it,1
alas,the,1
alice,added,1
alice,after,1
alice,again,3
alice,all,1
alice,allow,1
alice,alone,1
alice,aloud,1
alice,always,1
alice,an,1
alice,and,19
alice,angrily,1
alice,anything,1
alice,appeared,1
alice,as,11
alice,asked,3
alice,because,1
alice,began,7
alice,besides,1
alice,but,5
alice,by,1
alice,call,1
alice,called,2
alice,caught,1
alice,cautiously,2
alice,chapter,1
alice,come,4
alice,coming,1
alice,considered,1
alice,could,11
alice,crouched,1
alice,dear,1
alice,desperately,1
alice,did,10
alice,didnt,1
alice,dodged,1
alice,doubtfully,1
alice,every,1
alice,exactly,1
alice,feeling,1
alice,felt,5
alice,flinging,1
alice,folded,1
alice,for,2
alice,found,1
alice,gave,1
alice,gently,1
alice,glanced,1
alice,got,1
alice,guessed,2
alice,had,11
alice,hastily,4
alice,have,1
alice,he,1
alice,heard,3
alice,herself,1
alice,how,1
alice,im,4
alice,in,9
alice,indignantly,3
alice,it,5
alice,itll,1
alice,its,2
alice,ive,4
alice,joined,1
alice,jumping,1
alice,kept,1
alice,knew,1
alice,laughed,1
alice,led,1
alice,like,1
alice,living,1
alice,looked,8
alice,looking,1
alice,loudly,1
alice,more,1
alice,not,1
alice,nothing,2
alice,noticed,2
alice,now,1
alice,of,2
alice,off,1
alice,oh,1
alice,one,1
alice,only,2
alice,opened,1
alice,or,1
alice,panted,1
alice,put,1
alice,quietly,1
alice,quite,4
alice,rather,3
alice,recognised,1
alice,reeling,1
alice,remained,1
alice,remarked,2
alice,replied,9
alice,sadly,1
alice,said,11
alice,seriously,1
alice,severely,1
alice,shall,1
alice,sharply,1
alice,she,5
alice,shes,1
alice,sighed,1
alice,so,1
alice,soon,2
alice,stand,1
alice,started,1
alice,surprised,1
alice,swallowing,1
alice,that,2
alice,thats,3
alice,the,4
alice,then,2
alice,they,1
alice,theyre,1
alice,think,1
alice,thinking,1
alice,thought,12
alice,thoughtfully,1
alice,three,1
alice,timidly,2
alice,to,9
alice,took,1
alice,tried,1
alice,turned,1
alice,ventured,4
alice,very,6
alice,waited,3
alice,was,17
alice,watched,1
alice,we,1
alice,well,3
alice,went,5
alice,were,1
alice,what,2
alice,when,2
alice,wheres,1
alice,whispered,2
alice,who,6
alice,whos,1
alice,whose,1
alice,why,5
alice,with,2
alice,without,1
alice,would,1
alice,you,4
aliceand,perhaps,1
alices,adventures,5
alices,and,1
alices,elbow,1
alices,evidence,2
alices,first,1
alices,great,1
alices,head,1
alices,love,1
alices,right,1
alices,shoulder,2
alices,side,1
alive,for,1
alive,she,1
alive,with,1
all,about,4
all,access,1
all,advance,1
all,alone,1
all,and,2
all,anxious,1
all,as,1
all,at,2
all,because,1
all,brightened,1
all,but,1
all,came,2
all,can,1
all,cheered,1
all,come,1
all,comfortable,1
all,coming,1
all,copies,2
all,crowded,3
all,dark,1
all,day,2
all,difficulties,1
all,directions,2
all,do,1
all,dripping,1
all,dry,1
all,else,1
all,except,1
all,fairly,1
all,finished,1
all,for,1
all,have,1
all,he,2
all,her,6
all,his,1
all,however,2
all,in,2
all,is,1
all,it,1
all,its,2
all,joined,1
all,know,1
all,liability,2
